"transferor_name","transferor_regno","transferor_subno","transferee_name","transferee_regno","transferee_subno","date_vesting_declaration","date_property_transferred","date_merger_registered"
"The Henley Management College","1007194",0,"The University of Reading","4037741",0,"","2008-01-08","2008-11-13"
"The Henry and Dora Needler Memorial Trust","1067604",0,"The Henry and Dora Needler Memorial Trust","1125229",0,"2008-08-21","2008-08-21","2009-09-06"
"The Hertfordshire Congregational Union (Incorporated)","250254",0,"URC Thames North Trust","1022551",0,"","2012-03-14","2012-03-23"
"The Histiocytosis Research Trust","1004546",0,"Histiocytosis UK","1158789",0,"","2014-12-31","2015-05-22"
"The Holbeck Charitable Trust","1113089",0,"The Holbeck Charitable Trust","1146205",0,"","2012-04-30","2012-12-31"
"The Honorary Treasurer's Fund","285532",0,"The Society Of Occupational Medicine","268555",0,"","2016-01-01","2016-06-01"
"The Hope of Sheffield Christian Church","1052585",0,"Hope City Church","1119791",0,"","2008-11-28","2009-08-01"
"The Hornsey Trust for Handicapped Children","233990",0,"The Peter Rigby Trust","1124524",0,"","2008-12-31","2009-05-18"
"The Horsall Common Preservation Society","200363",0,"Horsell Common Preservation Society","1123473",0,"2008-01-07","2008-01-07","2008-08-27"
"The Horse's Voice","1080442",0,"Bransby Horses","1075601",0,"","2018-09-07","2018-03-11"
"The Hosier Trust","277932",0,"The Community Foundation For Wiltshire & Swindon","1123126",0,"","2012-01-30","2014-08-05"
"The Hospital of Saint Ethelbert","218576",0,"The Hereford Cathedral Almshouse Charity of Saint Katherine and Saint Ethelbert","218575",0,"","2011-12-29","2012-01-24"
"The Houghton Trust","1077563",0,"Central Hardship and Relief Fund","801465",0,"","2009-09-30","2009-09-30"
"The Howard Leopold Davis Fund","207095",0,"The Honourable Company of Master Mariners and Howard Leopold David Charity","1127213",0,"","2010-05-27","2010-08-10"
"The Humane Slaughter Association And Council Of Justice To Animals (HSA and CJA)","209563",0,"Humane Slaughter Association","1159690",0,"2016-03-31","2016-01-04","2016-11-24"
"The Independent Dancers Resettlement Trust","327747",0,"Dancers' Career Development","1168958",0,"","2017-03-31","2017-04-19"
"The Institute For Cultural Research","313295",0,"The Idries Shah Foundation","1150876",0,"2015-11-09","2015-11-09","2016-06-01"
"The Institute of Food Science and Technology Trust Fund","264044",0,"Institute of Food Science and Technology","1121681",0,"","2008-02-12","2009-03-23"
"The Institution of Incorporated Engineers","1088681",0,"The Institution of Engineering and Technology","211014",0,"","2006-03-31","2008-07-02"
"The International Baccalaureate Fund","313925",0,"International Baccalaureate Fund UK","1127386",0,"","2009-04-28","2009-10-06"
"The Irish Chaplaincy In Britain","280742",0,"Irish Chaplaincy","1160365",0,"2015-01-04","2015-01-04","2016-10-06"
"The Isles of Scilly Environmental Trust/IOSWT","293512",0,"Isles of Scilly Wildlife Trust Limited","1097807",0,"","2009-03-31","2009-03-04"
"The James And Ada Robb Charity","214717",0,"The James And Ada Robb Charity","1157777",0,"2014-05-07","2014-05-07","2015-11-25"
"The Jerusalem And The Middle East Church Association","248799",0,"The Jerusalem And The Middle East Church Association","1158476",0,"","2016-06-30","2017-07-17"
"The Jewish Council for Racial Equality (JCORE)","281236",0,"Jewish Council for Racial Equality","1132666",0,"","2011-11-17","2011-11-17"
"The Jews Court Trust","507065",0,"Jews' Court And Bardney Abbey Trust","1144582",0,"2011-12-31","2011-12-31","2013-10-22"
"The John Clare Education and Environment Trust","1115999",0,"The John Clare Trust","1114942",0,"","2008-04-08","2008-05-08"
"The John Pounds of Portsmouth Heritage Appeal","1074479",0,"John Pounds Charity","1083234",0,"","2011-01-12","2011-01-12"
"The Jon Egging Trust","1148180",0,"The Jon Egging Trust","1156265",0,"","2016-12-02","2016-02-16"
"The Jubilee Church Trust, Coventry","1068638",0,"Jubilee Church, Coventry","1149730",0,"","2013-10-15","2013-11-29"
"The Junction","1082324",0,"The Junction Foundation","1125578",0,"","2008-08-31","2008-08-26"
"The Karen Clifford Skin Cancer Charity","1116440",0,"The Karen Clifford Skin Cancer Charity","1150048",0,"2013-01-11","2015-07-07","2015-09-07"
"The Kidney Foundation","802350",0,"Kidney Research UK","252892",0,"2009-09-21","2009-11-20","2009-12-15"
"The King Edward's Hospital Fund for London","207401",0,"The King's Fund","1126980",0,"","2009-01-01","2013-02-18"
"The King Edward's School Witley Education Trust","273208",0,"Bridewell Royal Hospital","311997",0,"2017-07-31","2017-07-31","2017-11-09"
"The Kingcombe Trust","1054758",0,"The Dorset Trust for Nature Conservation","200222",0,"","2010-10-18","2011-03-02"
"The Kings Christian Bookshop","505608",0,"The Well","1163972",0,"2018-07-27","2018-07-27","2018-07-11"
"The King's Church Uckfield","802429",0,"King's Church Uckfield Limited","1124576",0,"","2008-01-10","2008-01-10"
"The King's Church, Portsmouth","1050458",0,"Hope (Portsmouth)","1119653",0,"","2008-03-31","2009-03-13"
"The Kings Way Church","1050614",0,"One Church Bristol","1152830",0,"","2014-01-01","2014-06-05"
"The Kraszna-Krausz Foundation","326601",0,"Kraszna Krausz Foundation","1172306",0,"","2017-03-28","2017-08-05"
"The Labrador Rescue Trust","1017241",0,"The Labrador Rescue Trust","1088198",0,"2015-06-22","2015-06-30","2015-01-07"
"The Lambeth Fund","287211",0,"The Lambeth Trust","1145313",0,"2012-02-27","2012-01-04","2012-09-26"
"The Langdon Down Centre Trust","1085398",0,"Downs Syndrome Association","1061474",0,"","2010-01-04","2011-02-15"
"The Langham Trust","258196",0,"The Langham Partnership (UK & Ireland)","1092233",0,"","2004-01-01","2008-07-17"
"The Lawes Agricultural Trust","208228",0,"Lawes Agricultural Trust","1156150",0,"","2014-11-19","2015-01-25"
"The Lawrance Messer Charitable Trust","327305",0,"The Patricia Baines Trust","327154",0,"","2011-05-10","2011-05-10"
"The Lawrence Batley Centre for the National Arts Education Archive (Bretton Hall) Trust","519437",0,"Yorkshire Sculpture Park","1067908",0,"","2009-09-30","2009-01-15"
"The League of Friends of Cranleigh Village Hospital","293185",0,"The League of Friends of Cranleigh Village Hospital","1120579",0,"","2008-01-31","2008-03-13"
"The League Of Friends Of Teddington Memorial Hospital","283599",0,"The League Of Friends Of Teddington Memorial Hospital","1130645",0,"","2010-01-01","2012-04-25"
"The League of Friends of the Bexhill Hospital","207886",0,"The League of Friends of the Bexhill Hospital CIO","1169175",0,"2017-01-01","2017-01-01","2017-08-22"
"The League Of Friends Of The Rye, Winchelsea And District Hospital","1002949",0,"Rye, Winchelsea & District Memorial Hospital Limited","1014232",0,"","2013-11-09","2013-12-09"
"The Leeds Benevolent Society For Single Ladies","227343",0,"Leeds Benevolent Society For Single Ladies","1155794",0,"","2014-03-31","2014-02-05"
"The Leeds Teaching Hospitals Charitable Fund ","1170369","1","Leeds Cares","1170369",0,"","2017-03-29","2018-09-22"
"Leeds Seacroft Hospital General Purpose Charity ","1075308","4","Leeds Cares","1170369",0,"","2017-03-29","2018-09-22"
"Chapel Allerton Hospital General Purpose Charity ","1075308","6","Leeds Cares","1170369",0,"","2017-03-29","2018-09-22"
"Wharfedale General Hospital General Purpose Charity ","1075308","7","Leeds Cares","1170369",0,"","2017-03-29","2018-09-22"
"Leeds General Infirmary Ward Fund ","1075308","11","Leeds Cares","1170369",0,"","2017-03-29","2018-09-22"
"Leeds General Infirmary Womens, Neonatal And Paediatric Fund ","1075308","12","Leeds Cares","1170369",0,"","2017-03-29","2018-09-22"
"Leeds General Infirmary General Purpose Fund ","1075308","14","Leeds Cares","1170369",0,"","2017-03-29","2018-09-22"
"Leeds General Infirmary Research Fund ","1075308","15","Leeds Cares","1170369",0,"","2017-03-29","2018-09-22"
"Leeds St James University Hospital Services Charity ","1075308","16","Leeds Cares","1170369",0,"","2017-03-29","2018-09-22"
"Leeds St James University Hospital Research Charity ","1075308","17","Leeds Cares","1170369",0,"","2017-03-29","2018-09-22"
"Cookridge Hospital General Purpose Charity","1075308","8","Leeds Cares","1170369",0,"","2017-03-29","2018-09-22"
"The Leicester And County Menphys Chalets","1082823",0,"Menphys Limited","270700",0,"2015-01-20","2015-02-03","2015-09-04"
"The Leicester Chinese Christian Church","1001879",0,"Leicester Chinese Christian Church","1170046",0,"","2017-10-03","2017-05-18"
"The Lennard Trust","304327",0,"Lower Heyford Relief in Need Charity","237768",0,"2010-09-21","2010-09-21","2010-09-28"
"The Lennox Hannay Charitable Trust","299099",0,"The Lennox and Wyford Foundation","1080198",0,"","2005-09-15","2008-06-23"
"The Leo Trust","1017367",0,"Fitzroy Support","1011290",0,"","2015-01-04","2015-05-22"
"The Leonora Children's Cancer Fund","1040757",0,"The Edwina Mountbatten Trust","228166",0,"","2010-01-01","2010-09-03"
"The Lescudjack Centre","1082202",0,"Trelya","1089634",0,"2015-03-27","2015-03-31","2016-09-23"
"The Lesty Pension Fund","212432","7","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"The Lewes Flood Appeal -","1083117",0,"The Sussex Community Foundation -","1113226",0,"","2011-06-22","2012-08-31"
"The Lewis-Manning Cancer Trust","293960",0,"The Lewis-Manning Trust","1120193",0,"","2010-06-11","2010-11-17"
"The Leys Youth Programme","1099785",0,"Innovista International","1108679",0,"","2016-01-29","2016-10-06"
"The Light Infantry Museum Trust","1101910",0,"Cornwall's Regimental Museum (The Home of the Duke of Cornwall's Light Infantry and the Light Infantry Collections)","1137184",0,"","2010-01-02","2011-08-23"
"The Lighthouse Club Benevolent Fund","205670",0,"Lighthouse Construction Industry Charity","1149488",0,"","2013-12-31","2014-12-06"
"The Lions Hospice","290313",0,"Ellenor Lions Hospices","1121561",0,"","2007-01-11","2008-03-13"
"The Lisieux Trust for Women's Ministry","1070747",0,"Housetop Care Limited","1053251",0,"","2011-11-28","2012-04-01"
"The Literary and Philosophical Society of Newcastle upon Tyne","528069",0,"The Literary and Philosophical Society of Newcastle upon Tyne","1120948",0,"","2007-12-31","2008-02-14"
"The Liversage Trust","216219",0,"The Liversage trust","1155282",0,"2014-03-31","2014-03-31","2014-08-04"
"Queen Victoria Memorial Home Of Rest","215852",0,"The Liversage trust","1155282",0,"2014-03-31","2014-03-31","2014-08-04"
"The Log Cabin","275183",0,"The Log Cabin Charity","1174220",0,"","2018-03-31","2018-08-11"
"The London Historic House Museum","295386",0,"The National Art Collections Fund (The Art Fund)","209174",0,"","2008-01-09","2009-09-01"
"The London Hospital Dental Club Benevolent Fund","278138",0,"Barts And The London Alumni Association Benevolent Fund","229227",0,"2014-12-16","2014-12-16","2016-09-27"
"The London Law Trust","255924",0,"The London Law Trust","1115266",0,"","2006-06-30","2008-02-07"
"The London Maritime Institution","207087",0,"The Honourable Company of Master Mariners and Howard Leopold David Charity","1127213",0,"","2010-09-15","2010-08-10"
"The London Stained Glass Company","802157",0,"The Glaziers Foundation","1143700",0,"2011-10-17","2011-01-12","2012-04-13"
"The Loriners Seear and Spaul Charity","1085913",0,"The Loriners Charitable Trust","1060330",0,"","2010-01-11","2010-04-11"
"The Magee Charitable Trust","1079268",0,"The SV and PE Magee Family Charitable Trust","1135130",0,"2018-06-20","2018-02-07","2018-09-14"
"The Maggie Keswick Jencks Cancer  Caring Centres Trust (Cambridge)","1102508",0,"Maggie Keswick Jencks Cancer Caring Centres Trust England","700784",0,"","2009-04-03","2009-08-06"
"The Maggie Keswick Jencks Cancer Caring Centres Trust (Sheffield)","1102874",0,"Maggie Keswick Jencks Cancer Caring Centres Trust England","700784",0,"","2009-04-03","2009-08-06"
"The Magic Bus UK","1099223",0,"Magic Bus UK","1124753",0,"","2008-01-07","2008-11-09"
"The Makaton Vocabulary Development Project","287782",0,"The Makaton Charity","1119819",0,"","2007-01-12","2010-11-25"
"The Malcolm Chick Charity ; Pearson's Holiday Fund","327732",0,"The Sheldon Trust 242328","","","","2013-03-14","2013-03-27"
"The Mary Eleanor Walker Fund","259852",0,"Brunswick Methodist Church","1128118",0,"","2011-10-05","2011-11-05"
"The Mary How Trust for Cancer Prevention","299594",0,"The Mary How Trust for Cancer Prevention","1122393",0,"","2008-10-07","2009-10-02"
"The Mary Wallace Foundation","1099299",0,"Maggie Keswick Jencks Cancer Caring Centres Trust England","700784",0,"","2013-01-10","2013-11-10"
"The Matthew Project","285256",0,"The Matthew Project","1122801",0,"","2008-01-04","2009-10-19"
"The Matthews Bursary Fund","1121128",0,"The Calne Foundation Trust","1147327",0,"","2013-07-17","2013-02-09"
"The Maurice Laing Foundation","264301",0,"The Rufford Maurice Laing Foundation","326163",0,"","2003-01-08","2014-09-09"
"The Mavis Gotto Trust","1044437",0,"The Fagus Anstruther Memorial Trust","275173",0,"","2012-12-04","2013-01-29"
"The Max Perutz Fund","280871",0,"The Max Perutz Fund","1129597",0,"2010-01-31","2010-01-31","2010-02-12"
"The Mayflower Trust","517245",0,"Central Hardship and Relief Fund","801465",0,"","2009-09-30","2009-09-30"
"The Meadover Trust","293426",0,"Central Hardship and Relief Fund","801465",0,"","2009-09-30","2009-09-30"
"The Medical College of St Bartholomew's Hospital Trust","291885",0,"The Medical College of Saint Bartholomew's Hospital Trust","1115519",0,"","2006-01-08","2009-10-03"
"The Messianic Testimony","274750",0,"Messianic Testimony","1148986",0,"","2013-01-01","2014-07-25"
"The Methodist Church East Wight Circuit","1135573",0,"The Methodist Church Isle Of Wight Circuit","1148485",0,"2012-08-31","2012-01-09","2014-07-05"
"West Wight Methodist Church","1134042",0,"The Methodist Church Isle Of Wight Circuit","1148485",0,"2012-08-31","2012-01-09","2014-07-05"
"The Methodist Church The Derbyshire Dales Circuit 22/25","1144017",0,"Amber Valley Methodist Circuit","1139498",0,"2014-01-09","2014-01-09","2014-09-15"
"Erewash Valley Methodist Circuit","1134400",0,"Amber Valley Methodist Circuit","1139498",0,"2014-01-09","2014-01-09","2014-09-15"
"The Methodist Homestead (1929)","255815",0,"The Methodist Homestead","1150018",0,"2012-12-14","2013-06-09","2013-06-09"
"The Metro Radio Charity Appeal","1123115",0,"Bauer Radio's Cash for Kids Charities","1122062",0,"","2010-03-31","2010-04-29"
"The Metro Radio Group Charity Appeal","1001540",0,"The Metro Radio Charity Appeal","1123115",0,"","2008-03-31","2008-08-04"
"The Metropolitan Police Sports Fund","278289",0,"Metropolitan Police Sports Fund","1141149",0,"","2011-01-12","2011-01-12"
"The Middlesex County Rugby Football Union Memorial Fund","209175",0,"Wavell Wakefield and Middlesex Sports Foundation","1119091",0,"","2007-06-30","2008-05-30"
"The Mills Archive Trust","1091534",0,"The Mills Archive Trust","1155828",0,"","2014-03-31","2014-08-04"
"The Mission To Seafarers","212432",0,"The Mission To Seafarers","1123613",0,"2010-12-31","2010-12-31","2013-11-15"
"The Mitchell Prize for English","1125485","12","The Merchant Taylors' Schools Crosby","1125485",0,"","2009-04-29","2009-05-18"
"The Monks Court Trust","1077163",0,"The Parochial Church Council of the Ecclesiastical Parish of St Mary Magdalene, Reigate","1129140",0,"","2009-07-31","2009-09-29"
"The Morpeth Group of the Riding for the Disabled Association","1074249",0,"Morpeth Group Riding for the Disabled","1123482",0,"","2009-01-04","2011-01-13"
"The Mount Church","1050617",0,"Edge Church International","1123123",0,"","2008-06-24","2009-04-28"
"The Mukherjee Brothers Charitable Trust","702424",0,"The Johnson And Mukherjee Brothers Charitable Trust","1001216",0,"","2013-12-31","2014-01-22"
"The Nancie Finnie Charitable Trust","1082707",0,"The Chartered Society Of Physiotherapy Charitable Trust","279882",0,"2013-12-17","2013-12-03","2013-12-18"
"The National Equine (and smaller animals) Defence League incorporating Animals Refuge; Horse Protection Society; Pit Pony League and The Anti Bering Rein Society","280700",0,"Oak Tree Animals Charity","1169511",0,"2016-11-19","2017-11-19","2017-04-09"
"The National Police Fund","207608",0,"The Police Dependants' Trust Limited","1151322",0,"","2017-09-30","2018-02-26"
"The National Westminster Staff Foundation","265793",0,"The RBS People Charity","1154235",0,"2014-01-17","2014-01-17","2015-03-31"
"The Nedging with Naughton Community Council","273484",0,"Nedging with Naughton Village Hall","304930",0,"","2013-04-23","2013-04-29"
"The Net","1068118",0,"The Black Country Net","1142412",0,"","2012-03-30","2014-08-22"
"The Neuropathy Trust -","1071228",0,"The Neuropathy Trust -","1146892",0,"","2012-07-30","2012-07-30"
"The New Mills District Nurse Endowment Fund","218334",0,"New Mills and District Volunteer Centre","1097655",0,"","2010-10-30","2010-04-11"
"The New Phytologist Trust","313570",0,"The New Phytologist Trust","1154867",0,"2013-11-15","2013-12-31","2015-05-05"
"The Newmarket Day Centre","290989",0,"Newmarket Day Centre CIO","1160955",0,"","2015-04-14","2015-07-29"
"The Noise Abatement Society","272040",0,"The Noise Abatement Society","1146192",0,"","","2015-07-29"
"The Nomad Trust (Lincoln)","517252",0,"The Nomad Trust","1127184",0,"","2009-01-12","2009-12-21"
"The North Wales Chrysalis Trust","1092246",0,"Hope House Children's Hospices","1003859",0,"","2013-05-28","2013-05-06"
"The Northern Horticultural Society","519634",0,"The Royal Horticultural Society","222879",0,"","2001-06-28","2007-12-21"
"The Northern Sinfonia Trust","509792",0,"North Music Trust","1087445",0,"","2013-02-25","2013-03-05"
"The Norton Collection Museum Trust","1132460",0,"Norton Collection Museum Trust","1170965",0,"","2017-11-30","2018-04-14"
"The Not Forgotten Association","229666",0,"The Not Forgotten Association (NFA)","1150541",0,"","2013-01-04","2015-02-23"
"The Nuffield (1940)(Trust)","209201",0,"The Nuffield Trust for Research and Policy Studies in Health Services","209169",0,"","2007-11-30","2010-02-15"
"The Nurses' Memorial to King Edward V11","206365",0,"Junius S Morgan Benevolent Fund","1131892",0,"","2010-01-31","2010-01-31"
"The Old Eastbournian Charity","270108",0,"Eastbourne College (Incorporated)","307071",0,"","2013-01-08","2013-08-27"
"The Old Malthouse School Trust Limited","306317",0,"Cothill Educational Trust","309639",0,"","2008-03-12","2009-05-29"
"The Olive Press Publications Limited","293553",0,"The Vincent Society","1153457",0,"","2014-12-31","2016-01-12"
"The Ormiston Trust","259334",0,"The Ormiston Trust","1164358",0,"","2016-01-07","2017-12-14"
"The Osberton Trust","326910",0,"The Osberton Trust","1125788",0,"","2009-04-30","2009-06-16"
"The Oval Trust","1081712",0,"The Surrey Cricket Board","1118770",0,"","2008-01-04","2008-09-04"
"The Packard Charitable Trust","1143015",0,"The Packard Foundation","1173462",0,"2017-07-11","2017-07-11","2018-10-20"
"The Palmers Guild Ludlow Charity","218216",0,"Charity Of Charles Foxe (Ecclesiastical Branch)","1020280",0,"","2018-07-30","2018-10-20"
"The Pargiter Trust","1113016",0,"The Pargiter Trust","1157779",0,"2014-10-24","2014-12-31","2015-11-16"
"The Paristamen Foundation","326906",0,"The Paristamen CIO","1155665",0,"","2014-03-22","2014-08-27"
"The Parochial Church Council of the Ecclesiastical Parish of St Bartholomew the Great","1128471",0,"The Parochial Church Council of the Ecclesiastical Parish of Great St Bartholomew","1163024",0,"2015-05-21","2015-01-06","2015-01-10"
"The Parochial Church Council of the Ecclesiastical Parish of St Bartholomew the Less","","","The Parochial Church Council of the Ecclesiastical Parish of Great St Bartholomew","1163024",0,"2015-05-21","2015-01-06","2015-01-10"
"The Parochial Church Council Of The Ecclesiastical Parish Of St Pinnock","","","The Parochial Church Council Of The Ecclesiastical Parish Of St Martin, Liskeard","1130720",0,"2017-05-02","2017-11-02","2017-02-16"
"The Parrot Zoo Trust","1062413",0,"The Parrot Zoo Trust","1162135",0,"","2015-01-07","2018-03-26"
"The Parry Charitable Foundation","1037673",0,"Norwood Schools Ltd","307992",0,"","2009-01-15","2009-01-15"
"The PCC Of The Parish Of Glyntaff Rhydyfelin and The Graig","1150348",0,"The Parish Of Pontypridd Parochial Church Council","1165251",0,"2015-09-28","2015-09-28","2016-07-27"
"St Catherine's Church Pontypridd Parochial Church Council","1151985",0,"The Parish Of Pontypridd Parochial Church Council","1165251",0,"2015-09-28","2015-09-28","2016-07-27"
"The Pelican Cancer Foundation","1019311",0,"Pelican Cancer Foundation","1141911",0,"","2012-01-04","2014-03-06"
"The Pennyhooks Farm Trust","1144446",0,"Pennyhooks Farm Trust","1166812",0,"2016-07-21","2016-01-10","2016-07-10"
"The Peter Herve Benevolent Institution","202443",0,"The National Benevolent Charity","212450",0,"2018-03-26","2018-03-26","2018-09-22"
"The Peter Selwood Charitable Trust","272783",0,"The Selwood Charitable Trust","265974",0,"","2017-07-25","2017-01-09"
"The Petersfield Voluntary Centre","280463",0,"Winton House Centre","1140306",0,"","2011-05-24","2011-06-06"
"The Philippine Community Fund","1091581",0,"The Philippine Community Fund","1158729",0,"2015-01-01","2015-02-24","2015-02-26"
"The Physiotherapy Education & Welfare Fund","303329",0,"The Guy's and St Thomas' Charity & Other Related Charities","251983","1","","2005-04-26","2008-03-10"
"The Pilgrim Hall Christian Trust","262561",0,"CWR","294387",0,"","2016-02-29","2016-01-03"
"The Pinder Centre Trust For Hydrotherapy and Physiotherapy","263934",0,"The Pinder Trust","256519",0,"","2012-10-31","2012-10-31"
"The Police Rehabilitation Centre","210310",0,"The Police Rehabilitation Centre","1146913",0,"","2012-06-30","2013-09-24"
"The Polycystic Kidney Disease Charity","1085662",0,"The Polycystic Kidney Disease Charity","1160970",0,"","2015-05-27","2017-01-26"
"The Pottery and Glass Trades' Benevolent Fund","208227",0,"Rainy Day Trust","209170",0,"","2012-07-12","2012-07-12"
"The Primary Immunodeficiency Association","893217",0,"The Primary Immunodeficiency Association","1107233",0,"","2006-01-01","2012-01-26"
"The Princess Alice Hospice Development Trust Ltd","1006266",0,"The Princess Alice Hospice Trust Ltd","1010930",0,"2009-04-03","2009-03-31","2009-03-31"
"The Princess Mary Memorial Trust","234077",0,"Victoria Convalescent Trust","1064585",0,"","1997-09-06","2010-11-03"
"The Priory Centre - Wycombe District's Council for Voluntary Service","280766",0,"Community Impact Bucks","1070267",0,"2010-03-22","2010-01-04","2010-12-23"
"The Professional Golfers' Association Benevolent Fund","212140",0,"The Professional Golfers' Association Benevolent Fund","1122638",0,"","2008-12-31","2009-12-01"
"The Prostate Cancer Charitable Trust","1025952",0,"The Prostate Cancer Research Foundation","1117399",0,"","2007-12-03","2008-02-15"
"The Provincial Grand Charity Fund","517923",0,"Freemasons Charity Yorkshire North & East Ridings CIO","1170209",0,"","2017-06-30","2017-12-12"
"The Puzzle Centre","1107426",0,"Puzzle Centre Trust Limited","1141868",0,"","2011-01-09","2012-09-20"
"The Queen Elizabeth Prize For Engineering Foundation","1143790",0,"The Queen Elizabeth Prize For Engineering Foundation","1147743",0,"","2012-07-25","2012-11-20"
"The R.A.F.C Company Limited","1061987",0,"The Royal Air Force Club","1108295",0,"","2015-12-31","2017-07-08"
"The Ravenscroft Foundation","282359",0,"The Catherine Cookson Charitable Trust","272895",0,"2008-09-08","2008-10-11","2008-03-12"
"The Rawson Hall","305173",0,"The Rawson Hall","1173352",0,"2017-12-31","2017-12-31","2018-12-05"
"The Red Rose Community Trust","1123106",0,"Bauer Radio's Cash for Kids Charities","1122062",0,"","2010-03-31","2010-04-29"
"The Red Rose Community Trust","702300",0,"The Red Rose Community Trust","1123106",0,"","2008-03-31","2008-08-04"
"The Red Sea Mission Team","232703",0,"Reachacross (UK)","1148692",0,"","2013-01-01","2015-03-30"
"The Redbourn Missionary Trust","251960",0,"The Redbourn Missionary Housing (1974) Trust","267130",0,"","2013-04-06","2014-04-04"
"The Redlands Provident Trust","1010282",0,"Central Hardship and Relief Trust (CHART)","801465",0,"","2009-05-29","2009-05-29"
"The Regimental And Chattels Charity Of The Former Durham Light Infantry","227007",0,"The Regimental and Chattels Charity of the Former Durham Light Infantry","1174128",0,"","2017-12-31","2018-03-15"
"The Regimental Museum of the Former Durham Light Infantry","272200",0,"The Regimental and Chattels Charity of the Former Durham Light Infantry","1174128",0,"2017-09-10","2017-09-10","2017-11-29"
"The Regimental Museum the Duke of Cornwall's Light Infantry","272359",0,"Cornwall's Regimental Museum (The Home of the Duke of Cornwall's Light Infantry and the Light Infantry Collections)","1137184",0,"","2010-01-02","2011-08-23"
"The Rev Henry Paul Lazonby's Charity ","209060",0,"The Parochial Church Council Of The Ecclesiastical Parish Of St George Benenden","1132696",0,"2017-11-27","2018-01-01","2018-03-05"
"Joseph Hall's Charity ","209061",0,"The Parochial Church Council Of The Ecclesiastical Parish Of St George Benenden","1132696",0,"2017-11-27","2018-01-01","2018-03-05"
"Thomas Wightwich's Charity","209062",0,"The Parochial Church Council Of The Ecclesiastical Parish Of St George Benenden","1132696",0,"2017-11-27","2018-01-01","2018-03-05"
"The Revd John Hockin Cartwright's Charity","203197",0,"Jane Tanners Charity","203195",0,"","2011-07-04","2011-04-27"
"The RIBA Education Fund","1063625",0,"Royal Institute Of British Architects","210566",0,"2013-09-17","2014-12-02","2014-05-22"
"The Road Locomotive Society","1102574",0,"Road Locomotive Society","1159394",0,"2015-07-27","2016-01-06","2016-06-06"
"The Roald Dahl Foundation","1004230",0,"Roald Dahl's Marvellous Children's Charity","1137409",0,"","2010-01-11","2011-05-09"
"The Robert Willis and Violet Willis Trust Home - Bethshan and Elshaddai","1072645","1","New Community Network","1072645",0,"","2015-11-12","2016-01-21"
"The Robin Cavendish Memorial Fund","1051055",0,"The Cavendish Spencer Trust","1159472",0,"","2015-04-30","2016-07-29"
"Refresh Limited","295874",0,"The Cavendish Spencer Trust","1159472",0,"","2015-04-30","2016-07-29"
"The Rock Church","1052062",0,"Rock of York","1119326",0,"","2007-08-16","2008-11-13"
"The Rock Millenium Green Charitable Trust","1084776",0,"Rock Village Hall","201575",0,"","2011-10-24","2011-10-25"
"The Rothschild Foundation","230159",0,"The Alice Trust","1138145",0,"","2010-12-31","2011-09-02"
"The Rowan Foundation Ltd","292364",0,"Rowan Humberstone Limited","1099555",0,"","2016-01-21","2016-05-12"
"The Roy F Burrows Midland Collection Trust","1082871",0,"The Midland Railway Society","1149613",0,"2016-09-02","2016-09-02","2016-04-27"
"The Roy Kinnear Charitable Foundation","1056641",0,"Choice Support","298149",0,"","2014-03-31","2014-07-04"
"The Royal Asylum Of The St Ann's Society","313639",0,"Bridewell Royal Hospital","311997",0,"2017-07-31","2017-07-31","2017-11-09"
"The Royal Asylum Of The St Ann's Society New Endowment Fund","313639","1","Bridewell Royal Hospital","311997",0,"2017-07-31","2017-07-31","2017-11-09"
"The Royal Bank of Scotland Benevolent Fund","1060226",0,"The RBS People Charity","1154235",0,"2013-11-15","2013-11-15","2015-03-31"
"The Royal Green Jackets Museum Trust","1009691",0,"The Royal Green Jackets (Rifles) Museum Trust","1156207",0,"2015-01-01","2015-01-01","2015-02-25"
"The Royal Marsden Hospital Cancer Fund","274034",0,"The Royal Marsden Cancer Campaign","1095197",0,"","2008-02-29","2008-02-29"
"The Royal Naval Volunteer Reserve (Auxiliary Patrol) Club Welfare Fund","269050",0,"The Royal Naval Benevolent Society for Officers","207405",0,"","2009-03-31","2009-04-23"
"The Royal Navy And Royal Marines Children's Fund","1075015",0,"The Royal Navy And Royal Marines Children's Fund","1160182",0,"2015-07-17","2015-01-08","2015-04-09"
"The Royal Opera House Foundation","211659",0,"Royal Opera House Covent Garden Foundation","211775",0,"2014-08-31","2014-08-31","2015-10-28"
"The Royal Sschool Hampstead Trust","312286",0,"Forces Children Education Trust","1167682",0,"2016-07-12","2016-07-12","2017-04-26"
"The Royal Tunbridge Wells Lions Club Charitable Fund","270441",0,"Southborough And District Lions Club Charitable Trust Fund","1113349",0,"2017-04-20","2017-05-18","2017-05-19"
"The Rufford Foundation","326163",0,"Rufford Small Grants Foundation","1117270",0,"","2013-03-26","2013-03-28"
"The Rugby Football Union Charitable Fund","209012",0,"RFU Injured Players Foundation","1122139",0,"","2008-01-01","2010-11-03"
"The Saddleworth Players","501414",0,"Millgate Arts Centre Limited","1119394",0,"2009-12-17","2009-08-31","2010-11-01"
"The Salisbury Diocesan Deaf Association","200607",0,"Wiltshire And Dorset Deaf And Hard Of Hearing Churches Trust","1151709",0,"","2013-02-12","2014-01-21"
