"transferor_name","transferor_regno","transferor_subno","transferee_name","transferee_regno","transferee_subno","date_vesting_declaration","date_property_transferred","date_merger_registered"
"Bertram White Trust Limited","285901",0,"Hewer-White Trust Limited","228129",0,"","2015-09-30","2016-01-02"
"Bethany Christian Home","263727",0,"Pilgrim Havens","1045920",0,"","2014-01-10","2014-08-12"
"Bethany Community Churches","518763",0,"Elim Foursquare Gospel Alliance","251549",0,"","2014-08-08","2014-06-10"
"Bethel Full Gospel Church","1054334",0,"Bethel - London's Riverside Church","1124475",0,"","2008-10-12","2009-01-16"
"Bewley Christian Community Hall","252679",0,"Bewley Christian Community Hall Ltd","1136845",0,"2012-03-31","2011-03-11","2012-04-13"
"Bexhill Voluntary Day Centres for the Elderly","283430",0,"The Bexhill Caring Community","1108312",0,"","2011-11-05","2011-05-16"
"Bible College of Wales","212216",0,"The Rees Howells Trust","1107553",0,"","2005-01-08","2008-03-18"
"Bible Lands","226093",0,"Embrace The Middle East","1076329",0,"","1999-02-02","2015-10-04"
"Big World Impact","1153788",0,"Active Communities Network Limited","1121216",0,"","2016-10-09","2016-09-21"
"Bill Quay Community Farm Association","517779",0,"Bill Quay Community Farm Association","1146471",0,"2012-03-31","2012-03-31","2012-04-24"
"Binfield Free Church","","","Binfield Free Church (CIO)","","","2016-10-30","2017-02-28","2018-01-19"
"Binoh Charitable Trust","291978",0,"The Hope Charity","1056674",0,"","2012-12-31","2013-02-15"
"Birchwood YMCA","701315",0,"National Council of Young Men's Christian Associations (Incorporated)","212810",0,"","2008-01-12","2009-03-19"
"Birmingham (Moseley & Sparkhill) Circuit of the Methodist Church (11327680","","","Birmingham Methodist Circuit","1132926",0,"","2011-01-09","2011-01-09"
"Birmingham and District Tinnitus Group","1055001",0,"BID Services (10531840","","","","2009-01-07","2010-09-14"
"Birmingham and Midland Cinematograph Trade Benevolent Fund","215666",0,"The Cinema and Television Benevolent Fund","1099660",0,"","2009-06-30","2010-03-08"
"Birmingham Asbury Methodist Church","1133795",0,"Birmingham Methodist Circuit","1132926",0,"","2011-01-09","2011-01-09"
"Birmingham Childrens Hospital Charities","1074850",0,"Birmingham Children's Hospital Charity","1160875",0,"","2015-01-04","2016-09-28"
"Birmingham District Family Mediation","515196",0,"Birmingham District Family Mediation","1155342",0,"2014-02-19","2014-02-28","2014-04-03"
"Birmingham Hospital General Fund Charity","1089035","02","Birmingham Women and Children's Hospital Charity","1160875",0,"","2017-01-31","2018-01-17"
"Birminham (Elmdon) 5/3 Circuit of the Methodist Church","1134262",0,"Birmingham Methodist Circuit","1132926",0,"","2011-01-09","2011-01-09"
"Bishop's Stortford Baptist Church","1129822",0,"Bishop's Stortford Baptist Church","1159484",0,"","2015-05-22","2015-09-07"
"Blackbird Leys Community Development Initiative","1049534",0,"Leys Community Development Initiative 91137129)","","","","2011-01-04","2011-11-04"
"Blackburn Diocesan Adoption Agency","1033041",0,"Adoption Matters North West","512892",0,"","2008-03-31","2008-04-17"
"Bleakholt Animal Sanctuary","255658",0,"Bleakholt Animal Sanctuary","1110503",0,"","2007-02-21","2007-12-20"
"Bloxwich Housing Trust Limited","1108782",0,"Walsall Housing Group Limited","1108779",0,"","2009-12-01","2009-02-18"
"Bolingbroke Playgroup Limited","1104225",0,"Childcare And Business Consultancy Services","1083895",0,"","2013-10-15","2014-11-13"
"Bolton Society For Blind People","702555",0,"Henshaws Society For Blind People","221888",0,"","2017-03-31","2018-03-15"
"Book Trade Benevolent Socity","276402",0,"The Book Trade Charity","1128129",0,"2009-08-26","2009-02-18","2012-05-24"
"Borletti-Buitoni Charitable Trust","1091588",0,"Borletti-Buitoni Trust","1167245",0,"","2016-07-31","2016-12-21"
"Bosco Centre","1046305",0,"The Bosco Centre","1157639",0,"2015-01-21","2015-01-04","2015-04-15"
"Bossingham Pre-School","1052069",0,"Bossingham Pre-School Ltd","1156713",0,"","2014-10-23","2015-05-14"
"Botanical Society Of The British Isles","212560",0,"Botanical Society Of Britain And Ireland","1152954",0,"2013-09-30","2013-01-11","2014-12-15"
"Bothy","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Bournemouth Chinese School","1087750",0,"Bournemouth Chinese School","1162663",0,"2015-08-08","2015-12-23","2016-11-01"
