"reg_number","scale"
203760,National
203763,Local
203765,Local
203766,National
203767,Local
203768,Local
203769,Local
203770,Local
203772,Regional
203773,Regional
203774,Local
203777,Local
203778,Local
203780,Local
203781,Local
203782,Local
203783,Local
203784,Local
203785,Local
203786,Local
203787,Regional
203788,Local
203789,Local
203791,Local
203792,Local
203793,Local
203794,Local
203795,Local
203796,Local
203797,Local
203801,Local
203802,Local
203805,Regional
203811,Local
203812,Local
203814,Local
203817,Local
203819,Local
203821,Local
203822,National
203826,Local
203827,Local
203829,Local
203830,Local
203831,Local
203832,Local
203835,Local
203837,Local
203838,Local
203843,Local
203845,Local
203847,Local
203850,Local
203852,Local
203854,Local
203856,Regional
203857,Local
203858,Local
203863,Local
203866,Local
203867,Local
203872,Local
203874,Local
203876,Local
203877,Local
203879,Local
203882,Local
203886,Local
203889,Local
203891,Local
203893,Local
203894,Local
203896,Local
203897,Local
203900,Local
203902,Local
203910,Local
203916,Local
203918,Local
203919,National
203922,Local
203927,Local
203929,Local
203933,Local
203934,Local
203935,Local
203937,Local
203938,Local
203939,Local
203940,Local
203942,Local
203943,Regional
203945,Local
203953,National
203954,National
203956,Local
203957,Local
203958,Local
203959,Local
203960,Local
203963,Local
203967,Local
203970,Regional
203972,Local
203974,Local
203975,Local
203980,Local
203984,Local
203987,Local
203991,Local
203992,Regional
203993,Local
203994,Local
203995,Local
203996,Local
203997,Local
203998,Local
203999,Local
204000,Local
204001,Local
204004,Local
204010,Local
204011,Local
204012,Local
204013,Local
204014,Local
204016,Local
204018,Regional
204019,Local
204022,Local
204023,Local
204025,Regional
204031,Local
204040,Local
204041,Local
204042,Local
204046,Local
204048,Regional
204049,Local
204050,Regional
204053,Local
204056,Local
204059,Local
204061,Local
204065,Local
204067,Local
204068,Local
204069,Local
204070,Local
204071,Local
204072,Local
204074,Local
204075,Local
204076,Local
204077,Local
204080,Local
204081,Local
204089,Local
204090,Local
204096,Local
204097,Local
204100,Local
204101,Local
204102,Local
204104,Local
204106,Local
204108,Local
204109,Local
204111,Local
204112,Local
204114,Local
204115,Local
204117,Local
204118,Local
204121,Local
204122,Local
204123,Local
204124,Local
204126,Local
204129,Local
204135,Local
204137,Local
204142,Local
204144,Local
204145,Local
204147,Local
204153,Local
204154,Local
204155,Local
204158,Local
204172,Local
204173,Local
204177,Local
204178,Local
204180,Local
204184,National
204185,Local
204186,Local
204187,Local
204188,Local
204190,Local
204192,Local
204193,Local
204194,Local
204197,Local
204206,Local
204207,Local
204212,Local
204213,Local
204214,Local
204216,Local
204217,Local
204218,Local
204219,Local
204221,Local
204222,Local
204225,Local
204229,Local
204231,Local
204234,Local
204235,Local
204240,Local
204242,Local
204243,Local
204244,Local
204245,Local
204246,Local
204247,Local
204248,Local
204250,Local
204252,Local
204258,Local
204259,Local
204264,Local
204266,Local
204267,Local
204268,Local
204269,Local
204271,Local
204274,Local
204277,Local
204279,Local
204280,Local
204281,Local
204284,Local
204286,Local
204287,Local
204289,Local
204290,Local
204292,Local
204294,Local
204295,Local
204297,Local
204298,Local
204301,Local
204306,Local
204310,Local
204311,Local
204315,Local
204316,Local
204320,Regional
204324,Local
204326,Local
204327,Local
204328,Local
204330,Regional
204331,Local
204333,Local
204334,Local
204340,Regional
204344,Local
204345,Regional
204349,Local
204351,Local
204354,Local
204355,Local
204356,Local
204357,Local
204358,Local
204362,Local
204363,Local
204365,Local
204368,Local
204372,Local
204378,Local
204379,Regional
204385,Local
204390,Local
204391,Local
204392,Local
204393,Local
204394,Local
204396,Local
204398,Local
204399,Local
204400,Local
204401,Local
204402,Local
204403,Local
204411,Local
204412,Local
204413,Local
204414,Local
204415,Local
204417,Local
204419,Local
204422,Local
204424,Local
204429,Local
204430,Local
204431,Local
204435,Local
204438,Local
204439,Local
204441,Local
204444,Local
204445,Local
204450,Local
204451,Local
204453,Local
204455,Local
204456,Local
204459,Local
204460,Local
204462,Local
204463,Local
204464,Regional
204465,Local
204466,Local
204467,Local
204468,Local
204469,Local
204470,Local
204471,Local
204474,Local
204476,Local
204478,Local
204481,Local
204483,Local
204484,Local
204489,Local
204490,Local
204493,Local
204496,Local
204499,Regional
204506,Local
204508,Local
204509,Local
204514,Local
204515,Regional
204518,Local
204519,Local
204525,Local
204528,Local
204530,National
204531,Regional
204536,Local
204538,Local
204544,Local
204546,Local
204547,Local
204548,Local
204550,Local
204552,Regional
204553,National
204555,Local
204557,Local
204562,Local
204563,Local
204564,Local
204565,Local
204567,Local
204568,Local
204570,Local
204571,Local
204573,Local
204575,Local
204576,Regional
204578,Local
204579,Regional
204581,Local
204583,Local
204586,Local
204588,Local
204589,Local
204591,Local
204592,Regional
204594,Local
204595,National
204597,Local
204598,Local
204599,Local
204609,Regional
204611,Local
204614,Local
204617,Local
204620,Local
204625,Regional
204626,Local
204630,Local
204631,Local
204635,Local
204637,Local
204639,Local
204640,Local
204644,Local
204646,Regional
204649,Local
204655,Local
204656,Local
204658,Local
204660,Regional
204661,Local
204662,Regional
204663,Local
204665,Regional
204666,Local
204670,Local
204671,Local
204672,Local
204673,Local
204675,Regional
204677,Local
204678,Local
204679,Local
204682,Local
204683,Local
204684,Local
204685,Local
204688,Local
204691,Local
204692,Local
204693,Local
204701,Local
204702,Local
204703,Local
204704,Local
204708,Local
204710,Local
204712,Local
204713,Regional
204715,Local
204716,Regional
204718,Local
204719,Local
204721,Local
204722,Regional
204724,Local
204725,Local
204729,Local
204731,Local
204732,Local
204733,Local
204734,Local
204740,Local
204742,Local
204743,Local
204748,Local
204749,Local
204750,Local
204751,Regional
204752,Local
204757,Local
204758,Local
204765,Local
204766,Local
204768,Local
204770,Local
204771,Local
204773,Local
204777,Local
204779,Local
204785,Local
204788,Local
204791,Local
204798,Local
204799,Local
204800,Local
204802,National
204805,Local
204806,Local
204808,Local
204811,Local
204814,Local
204815,National
204824,Local
204828,Local
204829,Local
204831,Local
204834,Local
204835,Local
204837,Local
204840,Local
204842,Local
204843,Regional
204844,National
204846,Local
204849,Local
204850,Local
204853,Local
204856,Local
204857,Local
204858,Local
204859,Regional
204861,Local
204862,Local
204863,Local
204864,Local
204865,Local
204867,Local
204868,Local
204870,Regional
