Type,Entity,Company Number,OSCAR CPID
Academy Trust,Cramlington Village Primary Ltd,07575016,CAD022
Academy Trust,Cranfield Church of England Academy,07897243,CAD022
Academy Trust,Craven Educational Trust,09023653,CAD022
Academy Trust,Crawley Free School Trust,08339290,CAD022
Academy Trust,Park Road Academy Primary School,07411759,CAD022
Academy Trust,Creative Education Trust,07617529,CAD022
Academy Trust,The Crescent Academy,07735646,CAD022
Academy Trust,Embrace Multi Academy Trust,08138965,CAD022
Academy Trust,The Crescent School Academy Trust,09771413,CAD022
Academy Trust,Crewe Multi Academy Trust,09379253,CAD022
Academy Trust,Ashwell Academy,08418435,CAD022
Academy Trust,Crigglestone St James CE Primary Academy Trust,08097265,CAD022
Academy Trust,Settlebeck School Academy Trust,07693715,CAD022
Academy Trust,"Marlborough Church of England School, The",08194349,CAD022
Academy Trust,Crispin School Academy Trust,07669314,CAD022
Academy Trust,Crofton Academy,07646836,CAD022
Academy Trust,Connect Schools Academy Trust,07824714,CAD022
Academy Trust,Cromer Academy Trust,07718422,CAD022
Academy Trust,Crosby on Eden Church of England Primary School,08242198,CAD022
Academy Trust,Crowle Primary Academy,08284371,CAD022
Academy Trust,Cromwell Academy,09021722,CAD022
Academy Trust,Beeches Learning And Development Trust,07769232,CAD022
Academy Trust,The Crypt School,07489196,CAD022
Academy Trust,The CSIA Trust,07551989,CAD022
Academy Trust,Woodside Academy,08272256,CAD022
Academy Trust,Ribbon Academy Trust,08132353,CAD022
Academy Trust,Our Lady of the Magnificat Multi-Academy Company,09064485,CAD022
Academy Trust,CTC Kingshurst Academy,02268092,CAD022
Academy Trust,Sandwich Technology School,07401373,CAD022
Academy Trust,Robert Wilkinson Academy Trust,08766799,CAD022
Academy Trust,North Star Community Trust Ltd,07355559,CAD022
Academy Trust,South Westmorland Multi Academy Trust,07646748,CAD022
Academy Trust,Dame Alice Owen's School,07559285,CAD022
Academy Trust,Darlinghurst School Academy Trust,08807637,CAD022
Academy Trust,Darrick Wood Infant School,07698658,CAD022
Academy Trust,Cheetham Church of England Community Academy,07811354,CAD022
Academy Trust,Darrick Wood School,07393519,CAD022
Academy Trust,Darrington Church of England Primary School,08638398,CAD022
Academy Trust,Dartford Grammar School,07406122,CAD022
Academy Trust,Davenant Foundation School,07540256,CAD022
Academy Trust,The David Ross Education Trust,06182612,CAD022
Academy Trust,John Mason Academy Trust,08786136,CAD022
Academy Trust,Days Lane Primary School,08916979,CAD022
Academy Trust,Dayspring Trust,08310825,CAD022
Academy Trust,De Aston School Academy Trust,07533362,CAD022
Academy Trust,Trinity London Academy Trust,07847013,CAD022
Academy Trust,Debenham High School,07467445,CAD022
Academy Trust,St Dunstan's School Academy Trust,07717212,CAD022
Academy Trust,The Delta Education Trust,08382383,CAD022
Academy Trust,Denbigh High School,07398940,CAD022
Academy Trust,Derby Diocesan Academy Trust,08980079,CAD022
Academy Trust,Rise Multi Academy Trust,08138372,CAD022
Academy Trust,Liverpool Diocesan Schools Trust,09235635,CAD022
Academy Trust,The Diocese of Norwich Education and Academies Trust,08737435,CAD022
Academy Trust,The John of Gaunt School,07990655,CAD022
Academy Trust,Woodbrook Vale School,07671486,CAD022
Academy Trust,St Chad's Academies Trust,08526973,CAD022
Academy Trust,Armthorpe Academy Trust,08071286,CAD022
Academy Trust,Ellison Boulters Church of England Academy Ltd,08169622,CAD022
Academy Trust,The Free School Norwich,07408229,CAD022
Academy Trust,Diocese of Southwell and Nottingham Multi-academy Trust,08738949,CAD022
Academy Trust,Elmlea Schools' Trust,07626956,CAD022
Academy Trust,Diocese of Salisbury Academy Trust,08656655,CAD022
Academy Trust,The Diocese of Westminster Academy Trust,07944160,CAD022
Academy Trust,Warren Road Primary School,07645774,CAD022
Academy Trust,Discover Multi Academy Trust,09680241,CAD022
Academy Trust,Discovery Learning Limited,07650604,CAD022
Academy Trust,Perry Beeches The Academy Trust,07749786,CAD022
Academy Trust,"Holy Trinity Primary School, A Church of England Academy",08105758,CAD022
Academy Trust,Trinity School Sevenoaks Ltd,07949294,CAD022
Academy Trust,"Trinity School, A Church of England Academy",07697485,CAD022
Academy Trust,Discovery New School,07308972,CAD022
Academy Trust,"Academy Trust of Melksham, The",08153550,CAD022
Academy Trust,Discovery Schools Academies Trust Ltd,08104111,CAD022
Academy Trust,Diverse Academies Trust,07664012,CAD022
Academy Trust,Dixons Academies Trust,02303464,CAD022
Academy Trust,Quest (A Church of England Schools Trust),09306360,CAD022
Academy Trust,Formby High School,07724342,CAD022
Academy Trust,Beyond Schools Trust,07401701,CAD022
