URN,EstablishmentName,charity_number,company_number,charity_name,active
106158,Covenant Christian School,,,,True
106159,Cheadle Preparatory School,,,,False
106160,Woodford Preparatory and Nursery School,,,,False
106161,Star of the Sea School,,,,False
106163,Care Today (Childrens Service),,,,False
106276,Trinity School,1163326,09321497,,True
106377,Bowdon Preparatory School for Girls,,,,True
106379,Altrincham Preparatory School,,,,True
106380,North Cestrian Grammar School,525925,,,False
106381,St Ambrose Prep School,,,,True
106382,Forest Park Preparatory School,,,,True
106383,Hale Preparatory School,,,,True
106384,Southfields School,,,,False
106385,Forest School,1131246,,,True
106386,Abbotsford Preparatory School,,,,True
106387,Loreto Preparatory School,,,,True
106388,Bowdon Preparatory School for Girls,,,,False
106389,Christ The King School,,,,False
106541,Kingsway School,,,,False
106659,"Hope House School, Barnsley",1088526,04219944,,False
106812,Hill House School,529420,00908443,,True
106813,Hesley Hall School,,,,False
106815,Hill House St Mary's School,,,,False
106816,Sycamore Hall Preparatory School,,,,True
106964,Rudston Preparatory School,529438,,,False
107161,Ashdell Preparatory School,,,,False
107162,Westbourne School,529381,00936709,,True
107163,Birkdale School,1018973,02792166,,True
107164,Brantwood School,,,,False
107165,Mylnhurst Preparatory School and Nursery,1124227,06540616,,True
107166,Sheffield High School,306983,00006400,,True
107167,Handsworth Christian School,1079564,,,False
107168,Bethany School,327687,02200050,,True
107445,Netherleigh and Rossefield School,,,,False
107446,Fox's School of Commerce,,,,False
107447,Netherleigh Preparatory School,,,,False
107448,Clevedon House Preparatory School,230011,RC000569,,False
107449,Ghyll Royd School and Pre-School,1070235,03583140,,True
107450,Moorfield School,529112,00844804,,True
107451,Keighley Preparatory School,,,,False
107452,Victoria Park Preparatory School,,,,False
107453,Westville House School,1086711,04030247,,True
107454,Bradford Girls' Grammar School,1137298,07281806,,False
107455,Bradford Grammar School,,,,True
107456,Feversham College,,,,False
107457,Shaw House School,,,,False
107458,Lady Lane Park School & Nursery,,,,True
107459,Willowfields School,,,,False
107460,Jaamiatul Imaam Muhammad Zakaria,,,,True
107461,Bradford Christian School,1027573,,,True
107462,Dixons City Technology College,,,,False
107582,The Gleddings School,,,,True
107583,Rishworth School,1115562,05855479,,True
107584,Lightcliffe Preparatory School,,,,False
107585,Hipperholme Grammar School,,,,True
107586,Rastrick Independent School,,,,False
107587,Glen House Montessori School,,,,False
107786,Huddersfield Grammar School,,02313425 ,,True
107787,The Mount School,,,,True
107788,Rosemeade School,,,,False
107789,Mountjoy House School,,,,False
107790,Batley Grammar School,,,,False
107791,Institute of Islamic Education,,,,True
107792,Zakaria Muslim Girls' High School,,,,False
107793,Islamia Girls' High School,,,,False
107794,Madni Academy,,,,True
107795,The Branch Christian School,1123715,06402268,,True
108102,Moorlands School,529216,00810136,,True
108103,Richmond House School,505630,01270675,,True
108104,Gateways School,529206,00702484,,True
108105,St Agnes PNEU School,,,,False
108106,North Leeds Preparatory School,,,,False
108107,High Trees Preparatory School,,,,False
108108,The Froebelian School,,,,True
108109,Queenswood School,1113504,,,True
108110,Leeds Menorah School,517679,,,True
108111,Hawksworth Hall School,,,,False
108112,Leeds Girls' High School,1048719,03075826,,False
108113,The Grammar School At Leeds,1048304,03075826,,True
108114,Woodhouse Grove School,529205,07649422,,True
108115,Beech House School,,,,False
108116,Leeds Christian School,,,,False
108117,Fulneck School,1121221,,,True
108118,The Alcuin School,,,,False
108300,Ackworth School,1175704,10562182,,True
108301,Cliff School at St John's Lodge,,00438111,,False
108302,St Hilda's School,,,,False
108303,Silcoates School,1158796,,,True
108304,Inglebrook School,,,,False
108305,Wakefield Girls' High School,,,,True
108306,Queen Elizabeth Grammar School,,,,True
108307,Wakefield independent sch,,,,True
108308,Sunny Hill House School,1158796,CE003074,,False
108309,Queen Elizabeth Grammar Junior School,,,,False
108414,Gateshead Jewish Boarding School,527371,,,True
108415,Musgrave School,,,,False
108416,Keser Torah Boys' School,527372,,,True
108417,Gateshead Jewish High School for Girls Ltd,,,,False
108418,Chase School,,,,False
108419,Gateshead Jewish Nursery School,,,,True
108420,Emmanuel College,702538,,,True
108537,Grainger Grammar School,,,,False
108538,Newcastle High School for Girls,306983,00006400,,True
108539,La Sagesse School,503958,,,False
108540,Newcastle Preparatory School,528152,00668983,,True
108541,Akhurst Private School,,,,False
108542,Westfield School,,,,True
108543,Ascham House School,510529,,,False
108544,Newcastle School for Boys,503975,01196898,,True
108545,Eastcliffe School,,,,False
108546,Central Newcastle High School,306983,00006400,,False
108547,Dame Allan's Senior School,,,,True
108548,Dame Allan's Girls' School,,,,False
108549,Royal Grammar School,,,,True
108650,The King's School,1096270,04659710,,False
108651,Dame Allan's Junior School,,,,True
108737,St Anne's High School,,,,False
108872,St Anthony's Montessori School,,,,False
108873,Argyle House School,,,,True
108874,Sunderland High School,1046849,02780748,,False
108875,Grindon Hall Christian School,,,,False
