company_number,charity_number
CE006151,1166397
CE012124,1174516
CE011285,1173778
CE013225,1177083
CE011021,1173344
CE003518,1162107
CE015449,1180422
CE004288,1163069
CE015640,1180739
CE003290,1159283
CE002229,1157749
CE013953,1178172
CE001430,1154740
CE012822,1176506
CE004627,1163454
CE013289,1177207
CE004218,1161850
CE006774,1165813
CE001286,1154261
CE001433,1154749
CE014724,1179323
CE003138,1158939
CE014956,1179670
CE014988,1179708
CE003209,1159083
CE011918,1175457
CE008279,1169736
CE012323,1174817
CE007024,1168241
CE001115,1156273
CE005296,1165361
CE013673,1177752
CE004629,1163457
CE013983,1178218
CE012062,1174425
CE004280,1163053
CE013527,1177539
CE007958,1169399
CE001949,1157104
CE015471,1180458
CE012919,1176663
CE010672,1174087
CE008912,1171296
CE013373,1177321
CE006624,1166972
CE012011,1175614
CE003773,1161014
CE014572,1179087
CE010253,1172882
CE012512,1176036
CE012841,1176533
CE010874,1173117
CE014384,1178864
CE000791,1155744
CE010462,1171875
CE011572,1175113
CE002005,1157232
CE015087,1179867
CE015205,1180054
CE012588,1176159
CE013175,1177048
CE003857,1161190
CE013822,1177985
CE007345,1167365
CE008394,1169911
CE013941,1178153
CE005380,1165517
CE011689,1175689
CE003232,1159151
CE012172,1174587
CE000917,1156656
CE001942,1157094
CE011064,1173420
CE016001,1181289
CE014193,1178498
CE015028,1179770
CE015658,1180769
CE001531,1155038
CE003136,1158935
CE003173,1159008
CE013999,1178237
CE015443,1180414
CE006702,1165706
CE014648,1179215
CE009176,1170438
CE009842,1172435
CE008728,1169064
CE015256,1180131
CE001746,1158493
CE008760,1169125
CE003827,1161126
CE005128,1162826
CE001943,1157095
CE012081,1174452
CE000907,1156631
CE010387,1171754
CE015859,1181086
CE002120,1157501
CE014765,1179385
CE014438,1178948
CE001999,1157221
CE003474,1162030
CE006944,1166089
CE000601,1153002
CE014710,1179300
CE005889,1164897
CE003249,1159182
CE014304,1178652
CE007684,1167924
CE006238,1166533
CE008159,1170127
CE003682,1160848
CE009202,1170478
CE005498,1164135
CE002824,1160090
CE012068,1174432
CE007691,1167934
CE011440,1174920
CE009702,1172202
CE005333,1165433
CE011678,1175671
CE015886,1181130
CE004417,1163298
CE014678,1179254
CE002585,1159844
CE000226,1153924
CE012491,1176006
CE004797,1163760
CE014003,1178243
CE002869,1160177
CE006555,1166858
CE015718,1180870
CE014371,1178847
CE013853,1178032
CE010518,1171965
CE005025,1162650
CE006898,1166010
CE001161,1156413
CE009529,1170974
CE007952,1169390
CE004972,1162559
CE002910,1160279
CE014387,1178874
CE013444,1177423
CE001691,1158364
