RP Code,Company Number,Charity Number,Org ID
4799,04454814,1098520,GB-CHC-1098520
24UF,,,GB-LAE-GOS
C3227,IP23251R,,GB-COH-IP23251R
4743,04630928,,GB-COH-04630928
H3862,IP25713R,,GB-COH-IP25713R
A1752,,246018,GB-CHC-246018
C2683,IP21905R,,GB-COH-IP21905R
5060,RS007853,,GB-COH-RS007853
A3583,,215491,GB-CHC-215491
LH0870,IP16849R,,GB-COH-IP16849R
29UG,,,GB-LAE-GRA
A0846,,211953,GB-CHC-211953
L1230,IP19564R,,GB-COH-IP19564R
L4465,IP30045R,,GB-COH-IP30045R
H3762,IP25081R,,GB-COH-IP25081R
33UD,,,GB-LAE-GRY
L4509,IP030097,,GB-COH-IP030097
C2682,IP22100R,,GB-COH-IP22100R
L1393,IP20859R,,GB-COH-IP20859R
4833,RS007418,,GB-COH-RS007418
LH3902,RS027052,,GB-COH-RS027052
L0308,IP15079R,,GB-COH-IP15079R
5135,11604749,,GB-COH-11604749
LH4152,03241634,1058613,GB-CHC-1058613
LH4106,03021390,1044658,GB-CHC-1044658
43UD,,,GB-LAE-GRT
LH0971,IP13250R,,GB-COH-IP13250R
L4497,IP30337R,,GB-COH-IP30337R
L2441,IP17017R,,GB-COH-IP17017R
LH0459,IP00172R,,GB-COH-IP00172R
5128,12029015,,GB-COH-12029015
C2744,IP22010R,,GB-COH-IP22010R
4695,07277557,1139580,GB-CHC-1139580
4661,07601918,,GB-COH-07601918
L4456,,1111346,GB-CHC-1111346
4685,02544279,,GB-COH-02544279
C3724,RS025531,,GB-COH-RS025531
A1789,06928467,205856,GB-CHC-205856
C3772,IP24720R,,GB-COH-IP24720R
4791,08314228,,GB-COH-08314228
LH3594,IP24295R,,GB-COH-IP24295R
A4354,,210145,GB-CHC-210145
00AP,,,GB-LAE-HRY
22UJ,,,GB-LAE-HAR
A0163,,207594,GB-CHC-207594
A2323,,200553,GB-CHC-200553
A0458,,217193,GB-CHC-217193
A1920,,224941,GB-CHC-224941
A4410,04932686,1101143,GB-CHC-1101143
36UD,,,GB-LAE-HAG
L1015,IP20924R,,GB-COH-IP20924R
L2188,IP18925R,,GB-COH-IP18925R
H0705,IP18429R,,GB-COH-IP18429R
L0923,IP17410R,,GB-COH-IP17410R
00EB,,,GB-LAE-HPL
L2173,IP16582R,,GB-COH-IP16582R
5116,,,GB-LAE-HAS
L0018,IP16243R,,GB-COH-IP16243R
C2304,IP21873R,,GB-COH-IP21873R
L0938,IP13165R,,GB-COH-IP13165R
LH3889,IP25918R,,GB-COH-IP25918R
4815,03366848,1064495,GB-CHC-1064495
4707,02328684,1076383,GB-CHC-1076383
C3963,IP27094R,,GB-COH-IP27094R
L4526,IP030446,,GB-COH-IP030446
4783,00170981,218808,GB-CHC-218808
4634,IP031076,,GB-COH-IP031076
4658,07384975,,GB-COH-07384975
C2390,IP21857R,,GB-COH-IP21857R
A0379,,221317,GB-CHC-221317
L4340,,1107073,GB-CHC-1107073
4744,07979268,,GB-COH-07979268
L1515,IP16353R,,GB-COH-IP16353R
L1998,IP10944R,,GB-COH-IP10944R
4847,04299623,1089763,GB-CHC-1089763
5104,,,GB-LAE-HEF
LH4261,03202862,1057387,GB-CHC-1057387
C2976,IP22509R,,GB-COH-IP22509R
L1856,,235827,GB-CHC-235827
L1538,IP19128R,,GB-COH-IP19128R
4796,08610471,,GB-COH-08610471
4668,06573772,,GB-COH-06573772
5064,10847988,,GB-COH-10847988
A2485,,214672,GB-CHC-214672
H3853,IP26358R,,GB-COH-IP26358R
17UH,,,GB-LAE-HIG
4776,RS008618,,GB-COH-RS008618
L2179,IP18077R,,GB-COH-IP18077R
LH1315,IP12687R,,GB-COH-IP12687R
4760,06953867,,GB-COH-06953867
L4447,IP29857R,,GB-COH-IP29857R
31UE,,,GB-LAE-HIN
C3454,IP24333R,,GB-COH-IP24333R
C2206,IP21755R,,GB-COH-IP21755R
C3298,IP22962R,,GB-COH-IP22962R
L4003,IP27352R,,GB-COH-IP27352R
L1994,IP16513R,,GB-COH-IP16513R
C2422,IP22013R,,GB-COH-IP22013R
C3769,IP025056,,GB-COH-IP025056
L3076,IP22981R,,GB-COH-IP22981R
4742,04566985,1098126,GB-CHC-1098126
C3891,IP27159R,,GB-COH-IP27159R
4785,IP30389R,,GB-COH-IP30389R
LH4121,IP28312R,,GB-COH-IP28312R
LH2021,IP13406R,,GB-COH-IP13406R
LH2162,IP17093R,,GB-COH-IP17093R
A2837,,209342,GB-CHC-209342
LH3903,IP25993R,,GB-COH-IP25993R
H0995,IP14948R,,GB-COH-IP14948R
L0719,IP11578R,,GB-COH-IP11578R
A1273,,216275,GB-CHC-216275
C3044,IP22442R,,GB-COH-IP22442R
L0055,IP16791R,,GB-COH-IP16791R
L0970,00420651,211351,GB-CHC-211351
A0376,,211053,GB-CHC-211053
L4073,IP27876R,,GB-COH-IP27876R
L1312,IP05305R,,GB-COH-IP05305R
4828,04936165,1101976,GB-CHC-1101976
L3305,IP22797R,,GB-COH-IP22797R
L2434,IP11133R,,GB-COH-IP11133R
H4310,02630447,1007875,GB-CHC-1007875
A0132,,226291,GB-CHC-226291
4713,01820492,515755,GB-CHC-515755
A0798,,1072080,GB-CHC-1072080
L0718,IP11577R,,GB-COH-IP11577R
C2586,IP22050R,,GB-COH-IP22050R
L2022,,238170,GB-CHC-238170
LH0032,IP18195R,,GB-COH-IP18195R
L4223,IP28851R,,GB-COH-IP28851R
H0312,00244598,215575,GB-CHC-215575
4822,04713032,,GB-COH-04713032
C3755,,,GB-MPR-24914R
H3858,02337961,801035,GB-CHC-801035
4662,06169583,,GB-COH-06169583
L4363,04221767,,GB-COH-04221767
L4476,04221767,,GB-COH-04221767
LH3829,RS024847,,GB-COH-RS024847
LH3728,IP25733R,,GB-COH-IP25733R
42UD,,,GB-LAE-IPS
C4321,IP25290R,,GB-COH-IP25290R
L0061,IP20684R,,GB-COH-IP20684R
C3770,IP23746R,,GB-COH-IP23746R
L1815,IP12313R,,GB-COH-IP12313R
5144,,,GB-LAE-IOW
4675,05577965,1112467,GB-CHC-1112467
L0457,IP11614R,,GB-COH-IP11614R
C2579,IP21646R,,GB-COH-IP21646R
4737,06565577,,GB-COH-06565577
5152,11688135,,GB-COH-11688135
A2293,,222306,GB-CHC-222306
A2989,,205757,GB-CHC-205757
A1254,,227487,GB-CHC-227487
A0567,,223223,GB-CHC-223223
LH0902,IP15697R,,GB-COH-IP15697R
LH4345,IP29433R,,GB-COH-IP29433R
L4532,,1126523,GB-CHC-1126523
LH0131,IP16668R,,GB-COH-IP16668R
LH4266,03807022,1146435,GB-CHC-1146435
A2670,02447900,802559,GB-CHC-802559
A0513,07568820,1143234,GB-CHC-1143234
A3457,,219747,GB-CHC-219747
A1194,,223912,GB-CHC-223912
A3970,,228137,GB-CHC-228137
L1231,IP19198R,,GB-COH-IP19198R
A1442,,233957,GB-CHC-233957
A2067,,205312,GB-CHC-205312
A1274,,224669,GB-CHC-224669
5079,RS008209,,GB-COH-RS008209
L4549,IP19305R,1183751,GB-CHC-1183751
LH0117,IP21271R,,GB-COH-IP21271R
4846,RS007529,,GB-COH-RS007529
4770,IP26815R,,GB-COH-IP26815R
4647,06972673,1133321,GB-CHC-1133321
5097,,1172208,GB-CHC-1172208
L1965,IP19475R,,GB-COH-IP19475R
4823,08689835,,GB-COH-08689835
4712,IP031141,,GB-COH-IP031141
4725,07515282,,GB-COH-07515282
4667,IP26953R,,GB-COH-IP26953R
C2694,IP22264R,,GB-COH-IP22264R
A2250,,212358,GB-CHC-212358
L1716,IP19197R,,GB-COH-IP19197R
A0486,,236411,GB-CHC-236411
00FA,,,GB-LAE-KHL
L0891,IP17374R,,GB-COH-IP17374R
4769,08129373,,GB-COH-08129373
C3347,IP23098R,,GB-COH-IP23098R
4735,IP031705,,GB-COH-IP031705
00CZ,,,GB-LAE-KIR
C3573,RS024637,,GB-COH-RS024637
L4544,IP26648R,,GB-COH-IP26648R
L0438,IP16677R,,GB-COH-IP16677R
A3567,,229068,GB-CHC-229068
C1686,RS021578,,GB-COH-RS021578
L0927,IP14888R,,GB-COH-IP14888R
L4346,IP21727R,,GB-COH-IP21727R
C3690,RS025311,,GB-COH-RS025311
30UH,,,GB-LAE-LAC
4693,07888191,1146304,GB-CHC-1146304
C3777,IP25648R,,GB-COH-IP25648R
4727,07281246,,GB-COH-07281246
H0895,IP16366R,,GB-COH-IP16366R
C2416,IP21504R,,GB-COH-IP21504R
A2064,,211702,GB-CHC-211702
L4195,,1072539,GB-CHC-1072539
4633,06888341,1133627,GB-CHC-1133627
LH0704,IP14238R,,GB-COH-IP14238R
00DA,,,GB-LAE-LDS
LH0989,IP21457R,,GB-COH-IP21457R
L0440,IP14424R,,GB-COH-IP14424R
5149,OC435745,,GB-COH-OC435745
5148,OC435744,,GB-COH-OC435744
5062,11223470,,GB-COH-11223470
5147,13230922,,GB-COH-13230922
5146,13230947,,GB-COH-13230947
00FN,,,GB-LAE-LCE
