RP Code,Company Number,Charity Number,Org ID
L1253,IP19876R,,GB-COH-IP19876R
C3635,IP23965R,,GB-COH-IP23965R
A3266,,232200,GB-CHC-232200
A0736,,203516,GB-CHC-203516
4779,08257055,1149955,GB-CHC-1149955
4781,00203583,226171,GB-CHC-226171
LH2204,00073749,212810,GB-CHC-212810
L3833,IP25952R,,GB-COH-IP25952R
4825,RS007326,,GB-COH-RS007326
24UJ,,,GB-LAE-NEW
L3704,RS024622,,GB-COH-RS024622
4666,IP29985R,,GB-COH-IP29985R
C3574,IP23909R,,GB-COH-IP23909R
C3628,IP025124,,GB-COH-IP025124
H0924,IP21410R,,GB-COH-IP21410R
4798,03199738,1055759,GB-CHC-1055759
C2548,IP21962R,,GB-COH-IP21962R
C3409,IP23496R,,GB-COH-IP23496R
4763,06984884,,GB-COH-06984884
LH3980,IP26061R,,GB-COH-IP26061R
37UG,,,GB-LAE-NEA
L0961,IP18586R,,GB-COH-IP18586R
00CJ,,,GB-LAE-NET
C3026,IP22540R,,GB-COH-IP22540R
L0006,IP18449R,,GB-COH-IP18449R
A0582,,216930,GB-CHC-216930
C3024,IP22738R,,GB-COH-IP22738R
LH4249,03674687,1164142,GB-CHC-1164142
17UJ,,,GB-LAE-NED
H2168,00702712,201653,GB-CHC-201653
32UE,,,GB-LAE-NKE
LH3859,IP26406R,,GB-COH-IP26406R
5098,,,GB-LAE-NNO
5129,,,GB-LAE-NNT
00HC,,,GB-LAE-NSM
LH0084,IP21256R,,GB-COH-IP21256R
00CK,,,GB-LAE-NTY
44UB,,,GB-LAE-NWA
31UH,,,GB-LAE-NWL
L3981,IP27416R,,GB-COH-IP27416R
C2850,IP22505R,,GB-COH-IP22505R
A2405,,212320,GB-CHC-212320
00EM,,,GB-LAE-NBL
4676,01870880,701800,GB-CHC-701800
33UG,,,GB-LAE-NOW
A0485,,1094602,GB-CHC-1094602
L1405,IP11676R,,GB-COH-IP11676R
C3517,IP22666R,,GB-COH-IP22666R
4880,RS007746,,GB-COH-RS007746
SL3119,IP23066R,,GB-COH-IP23066R
00FY,,,GB-LAE-NGM
4862,09810057,,GB-COH-09810057
4817,RS007104,,GB-COH-RS007104
L4459,IP29804R,,GB-COH-IP29804R
L4468,IP30011R,,GB-COH-IP30011R
44UC,,,GB-LAE-NUN
31UJ,,,GB-LAE-OAD
4720,07830210,,GB-COH-07830210
C4101,IP28375R,,GB-COH-IP28375R
C4042,IP27839R,,GB-COH-IP27839R
L4422,05000720,,GB-COH-05000720
LH4248,05000720,,GB-COH-05000720
L0067,IP21045R,,GB-COH-IP21045R
L0717,IP13991R,,GB-COH-IP13991R
L3757,IP24843R,,GB-COH-IP24843R
A1843,06789361,1127979,GB-CHC-1127979
A0564,,267200,GB-CHC-267200
L2000,IP12223R,,GB-COH-IP12223R
C3992,IP27551R,,GB-COH-IP27551R
C3726,IP025032,,GB-COH-IP025032
00BP,,,GB-LAE-OLD
4635,07318252,,GB-COH-07318252
LH0171,IP20453R,,GB-COH-IP20453R
4808,RS007018,,GB-COH-RS007018
4804,RS007072,,GB-COH-RS007072
H4418,04430743,1102301,GB-CHC-1102301
L4486,RS007639,,GB-COH-RS007639
4649,IP031216,,GB-COH-IP031216
LH0250,IP17186R,,GB-COH-IP17186R
4851,RS007561,,GB-COH-RS007561
L4123,IP28503R,,GB-COH-IP28503R
L4060,IP27802R,,GB-COH-IP27802R
4699,07532748,,GB-COH-07532748
A0072,05402303,1109141,GB-CHC-1109141
L1322,IP16793R,,GB-COH-IP16793R
LH4162,IP28637R,,GB-COH-IP28637R
4766,IP031985,,GB-COH-IP031985
L0871,IP10008R,,GB-COH-IP10008R
C2046,IP22102R,,GB-COH-IP22102R
L0028,IP16460R,,GB-COH-IP16460R
LH1836,00292967,210396,GB-CHC-210396
5095,11164788,,GB-COH-11164788
C3277,IP23332R,,GB-COH-IP23332R
38UC,,,GB-LAE-OXO
5143,IP30158R,,GB-COH-IP30158R
4876,09668602,,GB-COH-09668602
C3607,IP025080,,GB-COH-IP025080
L2498,IP16489R,,GB-COH-IP16489R
C4044,IP25291R,,GB-COH-IP25291R
C3650,IP24790R,,GB-COH-IP24790R
LH4138,IP27789R,,GB-COH-IP27789R
L4215,IP28844R,,GB-COH-IP28844R
C3128,IP22222R,,GB-COH-IP22222R
4849,RS007536,,GB-COH-RS007536
4728,RS008393,,GB-COH-RS008393
C3636,IP025122,,GB-COH-IP025122
5056,11102291,,GB-COH-11102291
A2759,,200953,GB-CHC-200953
4768,02936842,,GB-COH-02936842
4842,09337431,1161696,GB-CHC-1161696
L3885,IP26804R,,GB-COH-IP26804R
4869,RS007636,,GB-COH-RS007636
4878,RS007741,,GB-COH-RS007741
A3648,,293663,GB-CHC-293663
L1512,IP18129R,,GB-COH-IP18129R
L3899,IP26807R,,GB-COH-IP26807R
5061,11043072,,GB-COH-11043072
C2412,IP21760R,,GB-COH-IP21760R
A1348,,230946,GB-CHC-230946
C2938,IP22710R,,GB-COH-IP22710R
L1243,IP19080R,,GB-COH-IP19080R
A2334,,238044,GB-CHC-238044
L4088,IP27746R,,GB-COH-IP27746R
A0600,,203141,GB-CHC-203141
C3739,RS025646,,GB-COH-RS025646
LH0888,IP20037R,,GB-COH-IP20037R
5086,,224640,GB-CHC-224640
A4021,,224640,GB-CHC-224640
5112,,,GB-LAE-PTE
L0244,IP20803R,,GB-COH-IP20803R
L4505,IP30057R,,GB-COH-IP30057R
C3556,IP22904R,,GB-COH-IP22904R
H3795,01626869,284880,GB-CHC-284880
A4020,,1014862,GB-CHC-1014862
L1001,IP20002R,,GB-COH-IP20002R
L3692,RS025192,,GB-COH-RS025192
L1958,IP12758R,,GB-COH-IP12758R
C4102,IP28372R,,GB-COH-IP28372R
4700,07760630,,GB-COH-07760630
L1533,IP12901R,,GB-COH-IP12901R
C4380,IP28982R,,GB-COH-IP28982R
4747,06211760,1121914,GB-CHC-1121914
L4236,03777037,,GB-COH-03777037
L0659,IP19447R,,GB-COH-IP19447R
LH3926,IP20014R,,GB-COH-IP20014R
4789,IP032239,,GB-COH-IP032239
5084,RS008288,,GB-COH-RS008288
4757,03311700,,GB-COH-03311700
SL3224,IP23202R,,GB-COH-IP23202R
L4556,IP031012,,GB-COH-IP031012
A4273,,1076364,GB-CHC-1076364
L4543,IP030637,,GB-COH-IP030637
H0007,IP20360R,,GB-COH-IP20360R
L0119,IP19569R,,GB-COH-IP19569R
L2205,IP13111R,,GB-COH-IP13111R
L4170,,1064397,GB-CHC-1064397
5114,RS008219,,GB-COH-RS008219
LH4163,IP28635R,,GB-COH-IP28635R
L0011,IP16913R,,GB-COH-IP16913R
H1653,00037169,226226,GB-CHC-226226
C3338,IP22575R,,GB-COH-IP22575R
H2739,IP17255R,,GB-COH-IP17255R
00MR,,,GB-LAE-POR
L0686,IP18951R,,GB-COH-IP18951R
5093,10403857,,GB-COH-10403857
L2036,IP17340R,,GB-COH-IP17340R
LH4275,03865806,1080752,GB-CHC-1080752
C3172,IP22677R,,GB-COH-IP22677R
C2421,IP21430R,,GB-COH-IP21430R
LH4032,IP27792R,,GB-COH-IP27792R
LH4189,IP28685R,,GB-COH-IP28685R
4800,03816738,1079475,GB-CHC-1079475
4750,07575387,,GB-COH-07575387
L0695,IP19322R,,GB-COH-IP19322R
C3530,IP23924R,,GB-COH-IP23924R
L0908,IP16049R,,GB-COH-IP16049R
C2157,IP21838R,,GB-COH-IP21838R
4703,05876659,1116196,GB-CHC-1116196
L2159,IP17284R,,GB-COH-IP17284R
A1855,12463812,1188450,GB-CHC-1188450
A2945,,204548,GB-CHC-204548
H2362,00908333,254140,GB-CHC-254140
L4334,IP30070R,,GB-COH-IP30070R
C3826,IP25586R,,GB-COH-IP25586R
H3182,IP22760R,,GB-COH-IP22760R
5108,11402080,,GB-COH-11402080
00MC,,,GB-LAE-RDG
L4551,05646553,1140731,GB-CHC-1140731
5136,11815073,,GB-COH-11815073
H0670,IP15951R,,GB-COH-IP15951R
C3771,IP25667R,,GB-COH-IP25667R
4682,IP031322,,GB-COH-IP031322
47UD,,,GB-LAE-RED
C4378,IP29362R,,GB-COH-IP29362R
L1812,IP19938R,,GB-COH-IP19938R
L0877,IP16213R,,GB-COH-IP16213R
C3686,IP25296R,,GB-COH-IP25296R
4730,01412276,277424,GB-CHC-277424
4653,IP031240,,GB-COH-IP031240
5127,,,GB-LAE-REI
4778,08308710,,GB-COH-08308710
5092,11796225,,GB-COH-11796225
5053,10782983,,GB-COH-10782983
4745,IP29475R,,GB-COH-IP29475R
A4136,,206182,GB-CHC-206182
L4362,04254201,1090136,GB-CHC-1090136
L1967,IP19730R,,GB-COH-IP19730R
4824,08961418,,GB-COH-08961418
30UL,,,GB-LAE-RIB
A3469,,212951,GB-CHC-212951
C3043,IP22343R,,GB-COH-IP22343R
C2693,IP22148R,,GB-COH-IP22148R
L4279,IP030939,,GB-COH-IP030939
36UE,,,GB-LAE-RIH
L0892,IP18102R,,GB-COH-IP18102R
A3244,,225058,GB-CHC-225058
LH3651,,250986,GB-CHC-250986
C4381,IP29068R,,GB-COH-IP29068R
A2567,,227358,GB-CHC-227358
4866,IP031254,,GB-COH-IP031254
4607,IP031452,,GB-COH-IP031452
LH0869,IP13507R,,GB-COH-IP13507R
L0124,IP18800R,,GB-COH-IP18800R
A0746,,206942,GB-CHC-206942
LH4050,IP27786R,,GB-COH-IP27786R
L4404,IP29661R,,GB-COH-IP29661R
LH4026,IP27671R,,GB-COH-IP27671R
LH1026,IP15355R,,GB-COH-IP15355R
5055,10055536,,GB-COH-10055536
C2977,IP22542R,,GB-COH-IP22542R
30UM,,,GB-LAE-ROS
LH1658,IP21089R,,GB-COH-IP21089R
5119,,,GB-LAE-ROH
00CF,,,GB-LAE-ROT
H3731,IP25218R,,GB-COH-IP25218R
A3552,,211726,GB-CHC-211726
L1508,IP17723R,,GB-COH-IP17723R
00AW,,,GB-LAE-KEC
00AX,,,GB-LAE-KTT
44UD,,,GB-LAE-RUG
43UG,,,GB-LAE-RUN
C3693,IP25351R,,GB-COH-IP25351R
36UF,,,GB-LAE-RYE
4608,05864912,,GB-COH-05864912
A0809,,220488,GB-CHC-220488
L3807,IP26410R,,GB-COH-IP26410R
4761,02789572,1018832,GB-CHC-1018832
LH4412,IP032427,,GB-COH-IP032427
4636,05489096,,GB-COH-05489096
5083,11217855,,GB-COH-11217855
5082,11217910,,GB-COH-11217910
00BR,,,GB-LAE-SLF
A0192,,202110,GB-CHC-202110
4609,RS007051,,GB-COH-RS007051
LH2429,IP15210R,,GB-COH-IP15210R
A3183,,217466,GB-CHC-217466
LH0113,,206611,GB-CHC-206611
4684,IP031442,,GB-COH-IP031442
L0247,IP19059R,,GB-COH-IP19059R
A2806,,211106,GB-CHC-211106
LH0418,IP12740R,,GB-COH-IP12740R
5054,01705859,514302,GB-CHC-514302
00CS,,,GB-LAE-SAW
H1313,IP19068R,,GB-COH-IP19068R
L4299,,1114158,GB-CHC-1114158
C3097,IP22226R,,GB-COH-IP22226R
4721,07274686,,GB-COH-07274686
40UC,,,GB-LAE-SEG
5151,,,GB-LAE-SFT
36UH,,,GB-LAE-SEL
LH4097,04168336,1141124,GB-CHC-1141124
C3518,IP24518R,,GB-COH-IP24518R
C3472,IP24164R,,GB-COH-IP24164R
L4370,IP30003R,,GB-COH-IP30003R
C2580,IP21942R,,GB-COH-IP21942R
A1048,,218540,GB-CHC-218540
LH4325,,1166317,GB-CHC-1166317
C2318,IP21666R,,GB-COH-IP21666R
4848,10044321,,GB-COH-10044321
C2824,IP22408R,,GB-COH-IP22408R
LH4035,IP27772R,,GB-COH-IP27772R
4698,05457993,,GB-COH-05457993
C3236,IP23345R,,GB-COH-IP23345R
00CG,,,GB-LAE-SHF
LH0050,IP16442R,,GB-COH-IP16442R
A0482,,1175666,GB-CHC-1175666
5142,,1175666,GB-CHC-1175666
L0849,IP12232R,,GB-COH-IP12232R
A3494,11196374,1177535,GB-CHC-1177535
LH3883,IP26464R,,GB-COH-IP26464R
C3411,IP23589R,,GB-COH-IP23589R
C4103,IP28374R,,GB-COH-IP28374R
4809,07000798,1132671,GB-CHC-1132671
H0134,IP20092R,,GB-COH-IP20092R
00GG,,,GB-LAE-SHR
L1505,IP21543R,,GB-COH-IP21543R
H0299,IP17290R,,GB-COH-IP17290R
L4513,IP30230R,,GB-COH-IP30230R
A0565,,230359,GB-CHC-230359
A2408,,244045,GB-CHC-244045
A0629,,209283,GB-CHC-209283
4812,,217120,GB-CHC-217120
A2071,,219153,GB-CHC-219153
A4298,,217681,GB-CHC-217681
A2566,,1067598,GB-CHC-1067598
4612,04948846,,GB-COH-04948846
A2547,,229556,GB-CHC-229556
00MD,,,GB-LAE-SLG
C2533,IP22019R,,GB-COH-IP22019R
A3326,,205035,GB-CHC-205035
L4130,IP28410R,,GB-COH-IP28410R
LH1321,IP20784R,,GB-COH-IP20784R
L4191,IP27223R,,GB-COH-IP27223R
00CT,,,GB-LAE-SOL
4696,03266905,1068017,GB-CHC-1068017
L0125,IP21136R,,GB-COH-IP21136R
5067,,,GB-LAE-SWT
C3027,IP22595R,,GB-COH-IP22595R
12UG,,,GB-LAE-SCA
C3275,IP23406R,,GB-COH-IP23406R
L2034,IP20697R,,GB-COH-IP20697R
17UK,,,GB-LAE-SDE
LH0920,IP14949R,,GB-COH-IP14949R
5078,,,GB-LAE-SHA
32UF,,,GB-LAE-SHO
32UG,,,GB-LAE-SKE
16UG,,,GB-LAE-SLA
4686,IP031419,,GB-COH-IP031419
L4230,IP031210,,GB-COH-IP031210
C2612,IP22027R,,GB-COH-IP22027R
5085,,,GB-LAE-SRI
C3178,IP23324R,,GB-COH-IP23324R
5137,,,GB-LAE-SSO
00CL,,,GB-LAE-STY
4786,RS08627Z,,GB-COH-RS08627Z
L2424,IP12664R,,GB-COH-IP12664R
L0078,IP20165R,,GB-COH-IP20165R
00MS,,,GB-LAE-STH
C3572,IP24680R,,GB-COH-IP24680R
L1829,IP20755R,,GB-COH-IP20755R
00KF,,,GB-LAE-SOS
4853,05051166,1102837,GB-CHC-1102837
C3302,IP23457R,,GB-COH-IP23457R
LH1662,IP18521R,,GB-COH-IP18521R
L4628,IP031055,,GB-COH-IP031055
A2130,,233457,GB-CHC-233457
C3555,IP23252R,,GB-COH-IP23252R
C2581,IP22004R,,GB-COH-IP22004R
00BE,,,GB-LAE-SWK
L4507,IP30348R,,GB-COH-IP30348R
4837,RS007448,,GB-COH-RS007448
L3933,IP26400R,,GB-COH-IP26400R
5091,,,GB-LAE-SPE
C3022,IP22649R,,GB-COH-IP22649R
SL3270,IP23538R,,GB-COH-IP23538R
SL3365,IP23788R,,GB-COH-IP23788R
C3695,IP25250R,,GB-COH-IP25250R
L1218,IP10991R,,GB-COH-IP10991R
26UG,,,GB-LAE-SAL
C2531,IP21976R,,GB-COH-IP21976R
L4546,06866588,,GB-COH-06866588
H3158,01089026,502224,GB-CHC-502224
H4276,02919404,1037430,GB-CHC-1037430
H3994,03964376,1080154,GB-CHC-1080154
LH1832,00321509,207782,GB-CHC-207782
C4054,IP27841R,,GB-COH-IP27841R
A2840,,200397,GB-CHC-200397
A3456,,238993,GB-CHC-238993
A1325,,243977,GB-CHC-243977
L1824,IP15866R,,GB-COH-IP15866R
H3021,IP22546R,,GB-COH-IP22546R
LH0279,08225808,1149085,GB-CHC-1149085
L3519,RS024640,,GB-COH-RS024640
4738,02504171,1000830,GB-CHC-1000830
4753,05948739,,GB-COH-05948739
L4458,,1112582,GB-CHC-1112582
A3911,,223691,GB-CHC-223691
C2731,IP22153R,,GB-COH-IP22153R
A4024,,204758,GB-CHC-204758
4665,IP17914R,,GB-COH-IP17914R
L3711,IP24187R,,GB-COH-IP24187R
26UH,,,GB-LAE-STV
A3722,,205886,GB-CHC-205886
4619,04521257,,GB-COH-04521257
00BS,,,GB-LAE-SKP
00GL,,,GB-LAE-STE
L0021,IP17333R,,GB-COH-IP17333R
L0173,IP19412R,,GB-COH-IP19412R
L0288,IP18946R,,GB-COH-IP18946R
LH4027,IP27696R,,GB-COH-IP27696R
4717,IP031527,,GB-COH-IP031527
L1556,IP20558R,,GB-COH-IP20558R
5109,,,GB-LAE-STR
23UF,,,GB-LAE-STO
C2436,IP21854R,,GB-COH-IP21854R
5089,08359958,1152152,GB-CHC-1152152
C3157,IP22814R,,GB-COH-IP22814R
5080,,,GB-LAE-SND
C3348,IP23856R,,GB-COH-IP23856R
4749,07954337,,GB-COH-07954337
LH0079,IP12871R,,GB-COH-IP12871R
LH1833,IP15607R,,GB-COH-IP15607R
4687,07084201,,GB-COH-07084201
L0469,IP19998R,,GB-COH-IP19998R
L0721,IP16614R,,GB-COH-IP16614R
L4145,IP28496R,,GB-COH-IP28496R
C3738,IP25623R,,GB-COH-IP25623R
4864,10141541,,GB-COH-10141541
00HX,,,GB-LAE-SWD
C3174,IP23046R,,GB-COH-IP23046R
4680,IP031447,,GB-COH-IP031447
C2181,IP21683R,,GB-COH-IP21683R
L2209,IP17390R,,GB-COH-IP17390R
L4376,IP25085R,,GB-COH-IP25085R
41UK,,,GB-LAE-TAW
4659,IP26705R,,GB-COH-IP26705R
43UK,,,GB-LAE-TAN
C3001,IP21950R,,GB-COH-IP21950R
4679,02787689,1017481,GB-CHC-1017481
5059,,1177162,GB-CHC-1177162
4843,RS008374,,GB-COH-RS008374
4756,08385555,,GB-COH-08385555
LH0426,IP17955R,,GB-COH-IP17955R
L4469,IP30015R,,GB-COH-IP30015R
LH4403,04619035,1112196,GB-CHC-1112196
18UH,,,GB-LAE-TEI
5102,,,GB-LAE-TFW
22UN,,,GB-LAE-TEN
A3602,,203488,GB-CHC-203488
L1537,IP16683R,,GB-COH-IP16683R
L0159,IP16851R,,GB-COH-IP16851R
LH3702,IP25301R,,GB-COH-IP25301R
L0514,IP17375R,,GB-COH-IP17375R
29UN,,,GB-LAE-THA
H1167,00955757,262424,GB-CHC-262424
H2776,IP22279R,,GB-COH-IP22279R
H0228,00996404,500644,GB-CHC-500644
H2698,00977174,261463,GB-CHC-261463
H0062,01051354,267984,GB-CHC-267984
H1471,IP21525R,,GB-COH-IP21525R
H0229,01067487,501960,GB-CHC-501960
H3480,00835742,243585,GB-CHC-243585
H2473,IP21864R,,GB-COH-IP21864R
H0068,00685160,246972,GB-CHC-246972
H3569,IP24389R,,GB-COH-IP24389R
H0481,00899018,252082,GB-CHC-252082
H0552,01005700,262505,GB-CHC-262505
H2374,00952071,500464,GB-CHC-500464
H1607,IP21529R,,GB-COH-IP21529R
H4156,RS027255,,GB-COH-RS027255
H2960,IP22609R,,GB-COH-IP22609R
H1335,01108309,266471,GB-CHC-266471
H0001,01182566,268379,GB-CHC-268379
H2715,IP21991R,,GB-COH-IP21991R
H2475,00715471,223716,GB-CHC-223716
H0480,01086377,268826,GB-CHC-268826
H1362,00632263,206449,GB-CHC-206449
H1470,00995212,261970,GB-CHC-261970
H2228,00640910,246993,GB-CHC-246993
H0008,00778105,233470,GB-CHC-233470
H2257,00885474,249443,GB-CHC-249443
H2905,00714675,247440,GB-CHC-247440
H3824,IP025950,,GB-COH-IP025950
H0129,00772489,231852,GB-CHC-231852
H3860,IP25897R,,GB-COH-IP25897R
H3763,IP25016R,,GB-COH-IP25016R
H0301,00780423,232531,GB-CHC-232531
H3955,IP26522R,,GB-COH-IP26522R
H1598,00963399,259921,GB-CHC-259921
H2109,00643334,220611,GB-CHC-220611
H0553,01182568,268880,GB-CHC-268880
H3610,IP24428R,,GB-COH-IP24428R
H2961,RS022683,,GB-COH-RS022683
H2854,00784499,233269,GB-CHC-233269
H3505,IP24195R,,GB-COH-IP24195R
H3873,IP26309R,,GB-COH-IP26309R
H3295,00737334,230899,GB-CHC-230899
H3600,IP24712R,,GB-COH-IP24712R
H0595,00754694,238168,GB-CHC-238168
H0560,00702983,222742,GB-CHC-222742
H3370,IP23568R,,GB-COH-IP23568R
H4115,RS027263,,GB-COH-RS027263
H2851,00631694,203245,GB-CHC-203245
H2934,IP22478R,,GB-COH-IP22478R
H2980,00701225,233423,GB-CHC-233423
H3938,IP27089R,,GB-COH-IP27089R
H2295,01117696,266208,GB-CHC-266208
H0619,00719534,233004,GB-CHC-233004
H2085,00776563,237811,GB-CHC-237811
H0335,00762159,229545,GB-CHC-229545
H1046,00574816,200719,GB-CHC-200719
H2791,IP22210R,,GB-COH-IP22210R
H3283,IP23213R,,GB-COH-IP23213R
H3383,IP23413R,,GB-COH-IP23413R
H0833,00956345,260015,GB-CHC-260015
H2755,IP22339R,,GB-COH-IP22339R
H3470,00953566,259951,GB-CHC-259951
H0559,01095865,265782,GB-CHC-265782
H0548,01193242,269062,GB-CHC-269062
H0213,01084439,265137,GB-CHC-265137
H0347,00766744,230050,GB-CHC-230050
H4010,IP25355R,,GB-COH-IP25355R
H3405,IP23563R,,GB-COH-IP23563R
H2907,00961985,259776,GB-CHC-259776
H2055,00721891,222424,GB-CHC-222424
A0230,,236902,GB-CHC-236902
A0648,,206587,GB-CHC-206587
L2618,,225168,GB-CHC-225168
A2992,,216765,GB-CHC-216765
A1072,,211307,GB-CHC-211307
A2821,,235635,GB-CHC-235635
A2072,,200103,GB-CHC-200103
5051,,1175027,GB-CHC-1175027
A4028,,218971,GB-CHC-218971
L4005,02698040,1009955,GB-CHC-1009955
4859,,1165878,GB-CHC-1165878
4874,09838277,235867,GB-CHC-235867
L0992,IP10457R,,GB-COH-IP10457R
L0889,IP12378R,,GB-COH-IP12378R
A4012,,245212,GB-CHC-245212
4840,,236518,GB-CHC-236518
A2233,,217439,GB-CHC-217439
A2836,08589455,810114,GB-CHC-810114
A2986,,236643,GB-CHC-236643
A0826,,209165,GB-CHC-209165
A3706,,231798,GB-CHC-231798
A2266,,1005857,GB-CHC-1005857
LH4264,IP032351,,GB-COH-IP032351
A3783,,245824,GB-CHC-245824
A3612,,209850,GB-CHC-209850
A3036,,202650,GB-CHC-202650
4767,,222631,GB-CHC-222631
4838,06595498,1125402,GB-CHC-1125402
4706,02205136,327816,GB-CHC-327816
L4535,IP28173R,,GB-COH-IP28173R
A1482,,1140259,GB-CHC-1140259
L1821,,205786,GB-CHC-205786
A0542,,203004,GB-CHC-203004
LH3047,00098226,207493,GB-CHC-207493
A0185,,206621,GB-CHC-206621
A3486,,256680,GB-CHC-256680
A4037,,230785,GB-CHC-230785
A1597,,231768,GB-CHC-231768
4683,03208721,1059761,GB-CHC-1059761
A0215,,205177,GB-CHC-205177
H3727,00348341,207740,GB-CHC-207740
4729,IP031693,,GB-COH-IP031693
A1464,,212061,GB-CHC-212061
A2993,,219031,GB-CHC-219031
A3996,,1055157,GB-CHC-1055157
A1055,,219384,GB-CHC-219384
LH4339,RS007648,,GB-COH-RS007648
A4063,,221456,GB-CHC-221456
A3946,,211288,GB-CHC-211288
A3969,,210365,GB-CHC-210365
A4001,,211272,GB-CHC-211272
A2570,08390520,1152689,GB-CHC-1152689
A2835,,255892,GB-CHC-255892
A0611,,218931,GB-CHC-218931
A1286,,235958,GB-CHC-235958
A3564,,225510,GB-CHC-225510
5131,,1186592,GB-CHC-1186592
A3105,,1020237,GB-CHC-1020237
L4491,IP30224R,,GB-COH-IP30224R
A2635,,500818,GB-CHC-500818
C3531,IP24493R,,GB-COH-IP24493R
L0266,IP14044R,,GB-COH-IP14044R
A2150,,217047,GB-CHC-217047
A4407,,213904,GB-CHC-213904
A3937,,220807,GB-CHC-220807
L4207,03488197,1067408,GB-CHC-1067408
A1329,,202887,GB-CHC-202887
A1160,,211424,GB-CHC-211424
A0646,,208562,GB-CHC-208562
A3997,,202869,GB-CHC-202869
A3909,,270372,GB-CHC-270372
A2246,,214262,GB-CHC-214262
C2513,IP21847R,,GB-COH-IP21847R
5122,,207259,GB-CHC-207259
A4183,,213895,GB-CHC-213895
A0056,,200290,GB-CHC-200290
A2785,,214958,GB-CHC-214958
A1347,,207020,GB-CHC-207020
C3641,RS025198,,GB-COH-RS025198
4640,02783331,1017344,GB-CHC-1017344
L2793,,215582,GB-CHC-215582
A2819,,211777,GB-CHC-211777
LH1648,00148906,211234,GB-CHC-211234
A1068,,247553,GB-CHC-247553
5113,IP032339,,GB-COH-IP032339
H2321,IP21664R,,GB-COH-IP21664R
L4118,IP28414R,,GB-COH-IP28414R
A3748,,259111,GB-CHC-259111
A0333,,233324,GB-CHC-233324
H2025,00662712,200453,GB-CHC-200453
L4552,IP030938,,GB-COH-IP030938
A3590,,225866,GB-CHC-225866
A4089,,257508,GB-CHC-257508
A3666,,210106,GB-CHC-210106
A3418,00148636,207939,GB-CHC-207939
A2948,06801953,1127772,GB-CHC-1127772
A3603,,202152,GB-CHC-202152
LH4337,03009700,1043664,GB-CHC-1043664
LH4338,04249759,1088675,GB-CHC-1088675
H1416,,504340,GB-CHC-504340
A2803,,226776,GB-CHC-226776
L0689,IP10237R,,GB-COH-IP10237R
A2704,,234234,GB-CHC-234234
A3667,,226002,GB-CHC-226002
A4417,,259374,GB-CHC-259374
A0627,,227244,GB-CHC-227244
A1276,,222564,GB-CHC-222564
A2093,,1195199,GB-CHC-1195199
A3388,,214712,GB-CHC-214712
C4382,IP29055R,,GB-COH-IP29055R
LH4220,,1074701,GB-CHC-1074701
C3190,IP23078R,,GB-COH-IP23078R
L4522,RS007522,,GB-COH-RS007522
A0605,,220735,GB-CHC-220735
5111,,220735,GB-CHC-220735
4839,09953572,1169965,GB-CHC-1169965
C3516,RS024600,,GB-COH-RS024600
4814,,225709,GB-CHC-225709
L4520,IP30398R,,GB-COH-IP30398R
5052,RS007613,,GB-COH-RS007613
00KG,,,GB-LAE-THR
A1070,,206984,GB-CHC-206984
A1063,,200239,GB-CHC-200239
L4160,IP28687R,,GB-COH-IP28687R
L4464,RS007301,,GB-COH-RS007301
29UP,,,GB-LAE-TON
A2079,,209100,GB-CHC-209100
C2613,IP22055R,,GB-COH-IP22055R
5065,09183881,,GB-COH-09183881
5126,12044007,,GB-COH-12044007
L4260,,1078394,GB-CHC-1078394
L4251,IP30167R,,GB-COH-IP30167R
C3964,IP27104R,,GB-COH-IP27104R
SL3442,IP23381R,,GB-COH-IP23381R
L4440,04831118,1106967,GB-CHC-1106967
H2452,01057984,264133,GB-CHC-264133
A0069,,205134,GB-CHC-205134
L4311,IP030668,,GB-COH-IP030668
C2585,IP22018R,,GB-COH-IP22018R
L0979,IP17133R,,GB-COH-IP17133R
A2455,,208363,GB-CHC-208363
A4022,,215070,GB-CHC-215070
4645,05780467,,GB-COH-05780467
5118,,,GB-LAE-TUN
L3808,IP26310R,,GB-COH-IP26310R
H2509,00793558,234887,GB-CHC-234887
4652,06242442,1123817,GB-CHC-1123817
C2614,IP22111R,,GB-COH-IP22111R
L4385,04263691,1104723,GB-CHC-1104723
LH3904,IP26511R,,GB-COH-IP26511R
LH4297,IP21011R,,GB-COH-IP21011R
A3721,,229236,GB-CHC-229236
4861,09808882,,GB-COH-09808882
L0388,IP17599R,,GB-COH-IP17599R
LH3737,IP25616R,,GB-COH-IP25616R
22UQ,,,GB-LAE-UTT
4867,10262998,,GB-COH-10262998
L4473,05438914,1114504,GB-CHC-1114504
L1005,IP21237R,,GB-COH-IP21237R
LH0674,04544532,1095308,GB-CHC-1095308
A3553,,255927,GB-CHC-255927
C2532,IP21926R,,GB-COH-IP21926R
L4460,,1112915,GB-CHC-1112915
C3499,IP24096R,,GB-COH-IP24096R
4850,RS007544,,GB-COH-RS007544
A0544,,227364,GB-CHC-227364
C2696,IP21979R,,GB-COH-IP21979R
A3581,,214960,GB-CHC-214960
L4441,RS007530,,GB-COH-RS007530
A2920,,221005,GB-CHC-221005
L4389,04015633,1108779,GB-CHC-1108779
L3939,IP27378R,,GB-COH-IP27378R
L0461,IP21186R,,GB-COH-IP21186R
