org_id_a,org_id_b,name
GB-SC-SC006106,GB-COH-SC084170,BEATSON INSTITUTE FOR CANCER RESEARCH
GB-SC-SC006152,GB-COH-SC329580,THE VINE CHURCH LIMITED
GB-SC-SC006183,GB-COH-SC148330,FALKIRK CITIZENS ADVICE BUREAU LIMITED
GB-SC-SC006206,GB-COH-SC107480,CHRISTIAN SCHOOLS (SCOTLAND) LIMITED
GB-SC-SC006208,GB-COH-SC291742,EDINBURGH RAPE CRISIS CENTRE
GB-SC-SC006246,GB-COH-SC354083,THE SCOTTISH COMMONWEALTH GAMES YOUTH TRUST
GB-SC-SC006270,GB-COH-SC049387,ABERNETHY TRUST LIMITED
GB-SC-SC006384,GB-COH-SC357442,THE BENEVOLENT FUND FOR NURSES IN SCOTLAND
GB-SC-SC006403,GB-COH-SC094860,ONE PARENT FAMILIES SCOTLAND
GB-SC-SC006467,GB-COH-SC201401,SCOTTISH SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS
GB-SC-SC006528,GB-COH-SC138081,EDINBURGH HEADWAY GROUP
GB-SC-SC006545,GB-COH-SC100529,TRAINING FOR CARE
GB-SC-SC006609,GB-COH-SC174103,ERSKINE HOSPITAL
GB-SC-SC006685,GB-COH-SC378346,GATEWAY COMMUNITY CHURCH
GB-SC-SC006691,GB-COH-SC124795,DUNDEE WOMEN'S AID COMPANY LIMITED
GB-SC-SC006692,GB-COH-SC197820,PILMENY YOUTH CENTRE
GB-SC-SC006704,GB-COH-SC068503,STRATHCARRON HOSPICE
GB-SC-SC006768,GB-COH-SC129946,MARKINCH AFTER SCHOOL KIDS CLUB (MASK) LIMITED
GB-SC-SC006797,GB-COH-SC690171,HAWKHILL COMMUNITY ASSOCIATION LTD
GB-SC-SC006806,GB-COH-SC280849,HOME-START DUNFERMLINE
GB-SC-SC006845,GB-COH-SC087845,ARTLINK EDINBURGH AND THE LOTHIANS
GB-SC-SC006915,GB-COH-SC353197,AYRSHIRE DEMENTIA CARE LIMITED
GB-SC-SC006923,GB-COH-SC097679,GLASGOW COUNCIL FOR THE VOLUNTARY SECTOR
GB-SC-SC006932,GB-COH-SC134689,VOLUNTARY ACTION IN BADENOCH AND STRATHSPEY
GB-SC-SC006960,GB-COH-SC335480,STRUTHERS MEMORIAL CHURCH
GB-SC-SC006992,GB-COH-SC107265,COMMUNITY ENTERPRISE LIMITED
GB-SC-SC007006,GB-COH-SC103817,YOKER ENTERPRISES LIMITED
GB-SC-SC007018,GB-COH-SC267629,LOCHEND NEIGHBOURHOOD CENTRE
GB-SC-SC007118,GB-COH-SC041034,BELHAVEN HILL SCHOOL TRUST LIMITED
GB-SC-SC007119,GB-COH-SC046634,COMPASS GALLERY LIMITED
GB-SC-SC007133,GB-COH-SC083702,SCOTTISH MARITIME MUSEUM TRUST
GB-SC-SC007157,GB-COH-SC119638,DRUMDUAN SCHOOL LIMITED
GB-SC-SC007167,GB-COH-SC089590,COMUNN NA GAIDHLIG LIMITED
GB-SC-SC007212,GB-COH-SC116334,INVERCLYDE COMMUNITY DEVELOPMENT TRUST
GB-SC-SC007215,GB-COH-SC126388,FIFE SHOPMOBILITY LIMITED
GB-SC-SC007270,GB-COH-SC126241,STIRLING DISTRICT CITIZENS ADVICE BUREAU LIMITED
GB-SC-SC007421,GB-COH-SC186663,AUTISM AND NEURODIVERSITY NORTH SCOTLAND LIMITED
GB-SC-SC007443,GB-COH-SC370936,HAMILTON CITIZENS ADVICE BUREAU
GB-SC-SC007494,GB-COH-SC099063,LAGTA GROUP TRAINING LIMITED
GB-SC-SC007529,GB-COH-SC292960,PORT GLASGOW VOLUNTARY TRANS-PORT GROUP
GB-SC-SC007544,GB-COH-SC312361,THE EMMANUEL CHRISTIAN CENTRE
GB-SC-SC007554,GB-COH-SC356726,THE ARCHITECTURAL HERITAGE SOCIETY OF SCOTLAND
GB-SC-SC007562,GB-COH-SC269999,TOM THUMB NURSERY AND PLAYGROUP LIMITED
GB-SC-SC007631,GB-COH-SC353357,LOTHIAN CAT RESCUE
