Old charity number,New charity number,Name
700112,1179013,HIGHFIELDS  CHURCH
1073060,1180653,HIGHWAY PLAYDAYS
277760,1170319,HINTON MARTELL VILLAGE HALL
300164,1179097,HOLYPORT WAR MEMORIAL HALL
523155,1181450,HONEYBOURNE VILLAGE HALL
1156140,1180123,HOPE CHURCH RHONDDA
1041258,1161729,HOPE FOR CHILDREN
1039756,1180426,HOPE VALLEY AFTER SCHOOL CARE GROUP
1147898,1173711,HORSESHOES AND HANDPRINTS
208855,1101083,HOSPITALITY ACTION
1041193,1181034,HOUGHAM VILLAGE HALL TRUST
277815,1145490,HOUNSLOW TOY LIBRARY LIMITED
1082670,1181247,HULL CHURCHES HOME FROM HOSPITAL SERVICE
237215,526307,HUTTON CHARITY
1007675,1181418,HYSON GREEN YOUTH CLUB
279975,1174976,ILFRACOMBE & DISTRICT COMMUNITY TRANSPORT ASSOCIATION
1010817,1179103,IMANI COMMUNITY ASSOCIATION
1118960,1177038,IN ANOTHER PLACE
1084014,1180741,INSTITUTE OF BUSINESS ETHICS
257281,1083046,INTER-ACTION TRUST LTD
1072772,1171878,INTERCOM
1068349,1164736,INTERNATIONAL CHINA CONCERN
1003211,1176633,INTERNATIONAL CHRISTIAN MARITIME ASSOCIATION
1125108,1169284,INTERNATIONAL GOSPEL COMMUNITY
306038,1117014,INTERNATIONAL YOUTH HOSTEL FEDERATION
1105942,1154340,ISLAMBRADFORD
272690,1173839,ISLAMIC ASSOCIATION OF NORTH LONDON
1008199,1177472,JACKSONS EDUCATIONAL FOUNDATION
312127,1181004,JAMES MARSHALL FOUNDATION
1157819,1176639,JESSICA'S SARCOMA AWARENESS
310023,1131850,JEWS' COLLEGE
1047900,1180324,JOSEPH HARDY CHARITABLE TRUST
1120166,1153068,JUBILEE COMMUNITY CHURCH (EAST GRINSTEAD)
1072600,1127691,JUST AROUND THE CORNER
1145933,1177650,JUST CARING MIDLANDS
1062390,1117763,KAIROS COMMUNITY TRUST
1077200,1133510,KARIS NEIGHBOUR SCHEME
511141,1146310,KEMP HOUSE TRUST LTD
223382,1176989,KENT ARCHAEOLOGICAL SOCIETY
510406,1170675,KHOJA SHIA ITHNA-ASHERI MUSLIM COMMUNITY OF BIRMINGHAM
299539,1165590,KING'S CHURCH BISHOP'S WALTHAM
301866,1180268,KING'S SOMBORNE VILLAGE HALL
1077523,1181334,KINGS CHURCH WOKINGHAM
1177040,1179258,KINGS HEATH CHRISTADELPHIAN CHURCH
1029485,1177046,KINGS WORTHY PRE-SCHOOL
1096343,1174450,KINGSCARE LEAGUE OF FRIENDS
285737,1177621,KINGSDOWN PRE-SCHOOL
299430,1160983,KINGSTON BEREAVEMENT SERVICE
1047327,1168228,KIRK HAMMERTON NURSERY SCHOOL
701957,1172318,KIRKBY FLEETHAM VILLAGE HALL
1010893,1181430,LANCASHIRE BADGER GROUP
1142158,1175498,LAWYERS FOR PALESTINIAN HUMAN RIGHTS
522238,1179488,LAXTON VILLAGE HALL
1063400,1177735,LEAFIELD PRE-SCHOOL
505202,1174743,LEDBURY AMATEUR DRAMATIC SOCIETY LIMITED
227322,1094097,LEE ABBEY FELLOWSHIP
1141498,1180546,LEGACY  WM
209464,1078271,LEICESTER CHARITY ORGANISATION SOCIETY
1095540,1168829,LEICESTER RAPE CRISIS
1033808,1175673,LEIGH LOLLIPOPS NURSERY
299517,1178649,LEIGHTON BUZZARD FESTIVAL SINGERS
1010957,1157147,LEUKAEMIA BUSTERS
1153936,1178223,LEVEL TRUST
1068735,1174895,LEWES DISTRICT CHURCHES HOMELINK
1052636,1170211,LIFEHOUSE CHURCH
1109488,1178562,LIGHTHOUSE (HAZLEMERE)
327111,1083414,LIMMUD
1112390,1165953,LINK ETHIOPIA
1157716,1181312,LIPOEDEMA UK
1169574,1181630,"LITTLE ACORNS, CROSSGATES"
1036017,1174687,LITTLE BEARS PRE-SCHOOL (SHEBBEAR)
1151829,1161274,LITTLE PEOPLE UK
802492,1150019,LITTLEHAMPTON SPORTSFIELD
1136312,1179991,LIVERPOOL CHINESE GOSPEL CHURCH
1043039,1117553,LOGOS THEATRE COMPANY LIMITED
1042645,1165961,LONDON CHILDREN'S BALLET
1100019,1147168,LONDON TIGERS LTD
1051538,1169134,LONG PRESTON PLAYING FIELD ASSOCIATION
242423,1153110,LONGTOWN MEMORIAL HALL COMMUNITY CENTRE
289198,1171985,LORDSWOOD RESIDENTS AND COMMUNITY ASSOCIATION
281406,1168401,LOSTWITHIEL COMMUNITY ASSOCIATION
1125595,1177683,LOVE ME - LOVE MY MIND
1043005,1081368,LOWESTOFT COMMUNITY CHURCH LIMITED
1137186,1178264,LUNCH POSITIVE
517854,1177166,LYNEMOUTH RECREATION GROUND
226347,1174656,MACCLESFIELD SOCIETY FOR THE BLIND
1147458,1178339,MADDI'S BUTTERFLIES
1144492,1177042,MAIDSTONE FAMILY CHURCH
1010542,1156782,MAKTAB TARIGHAT OVEYSSI SHAHMAGHSOUDI (SCHOOL OF ISLAMIC SUFISM)
1013687,1167817,MALACHI COMMUNITY TRUST
1133125,1178558,MALVERN EVANGELICAL CHURCH
1134527,1172087,MANCHESTER AND WARRINGTON AREA QUAKER MEETING (RELIGIOUS SOCIETY OF FRIENDS)
327149,1148853,MANCHESTER CHARITABLE TRUST LTD
273683,1176423,MANOR FARM BOYS' CLUB
508810,1180947,MAPA BRADFORD
252594,1167990,MARGARET GREEN ANIMAL RESCUE
1023134,1167873,MARSDEN PRE SCHOOL PLAYGROUP AND TODDLERS
1001900,1151593,MARYLEBONE BANGLADESH SOCIETY LTD
1072441,1181625,"MAYFLOWER PLAYGROUP, HAYWARDS HEATH"
210544,1161927,MAYNARD AND COTTON'S HOSPITAL
1148026,1179545,MEDWAY AFRICAN AND CARIBBEAN ASSOCIATION
1034965,1178648,MELDRETH PRE-SCHOOL
300052,1158770,MEPPERSHALL VILLAGE HALL
1033724,1178374,MERSEYSIDE ASBESTOS VICTIMS SUPPORT GROUP
1114573,1179291,MESILA UK LIMITED
210802,1160493,MID SURREY MENCAP
1130828,1179225,MID WALES MUSIC TRUST
1023015,1171436,MILAAP MULTICULTURAL DAY CENTRE
1017480,1173307,MILE END NURSERY AND PLAYGROUP
268507,1178002,MILTON KEYNES CHORALE
1150435,1181349,MILTON KEYNES MURUGAN TEMPLE TRUST
1149189,1177043,MINDSONG
1123080,1174232,MONDAY CHARITABLE TRUST
523757,1179842,MOOR ALLERTON SPORTS AND SOCIAL CENTRE
1075416,1167307,MOORDOWN COMMUNITY ASSOCIATION
1089559,1173489,MORECAMBE BAY PARTNERSHIP
272183,1179808,MORETONHAMPSTEAD SWIMMING POOL TRUST
1143596,1171405,MORIAH BAPTIST CHURCH RISCA
1166369,1181382,"MOUNT ZION BAPTIST CHURCH, CARDIGAN"
222596,1178090,MOUNTAIN RESCUE ENGLAND AND WALES
294755,1160954,MRS S K WEST'S CHARITABLE TRUST
1155459,1178757,MUNDESLEY FREE CHURCH
1040170,1076896,MURRAY HALL COMMUNITY TRUST LIMITED
327287,1179477,MUSLIM ASSOCIATION OF NIGERIA UK
271680,1149833,MUSLIM WELFARE HOUSE
290098,1172494,MUSLIM WORLD LEAGUE LONDON OFFICE TRUST
1113809,1137177,MYOTUBULAR TRUST
1065058,1181202,NANCY BLACKETT TRUST
1149217,1179099,NATIONAL CIVILIAN WW2 MEMORIAL TRUST
294087,1156134,NATIONAL EYE RESEARCH CENTRE
306069,1144528,NATIONAL INSTITUTE OF AGRICULTURAL BOTANY TRUST
288167,1173042,NAVNAT VANIK ASSOCIATION OF THE UNITED KINGDOM
1065775,1170605,NELSON'S JOURNEY
1100698,1161188,NEW FOUNDATIONS
1125886,1178511,NEW LIFE CHURCH (REDCAR)
1117692,1179497,NEW LIFE COMMUNITY CHURCH FORDINGBRIDGE
1016742,1144759,NEWCASTLE CITY CENTRE CHAPLAINCY
1106082,1180305,NEWCASTLE PHILOSOPHY SOCIETY
1127416,1175783,NEWPORT PAGNELL BAPTIST CHURCH
1035706,1181575,NORTH CORNELLY PLAYGROUP ASSOCIATION
1150719,1181310,NORTH COTSWOLD FOODBANK
1074195,1178154,NORWICH AND DISTRICT GROUP RIDING FOR THE DISABLED ASSOCIATION
1053529,1168331,NORWICH SHOPMOBILITY
1122110,1177990,NOTRE DAME REFUGEE CENTRE
1054399,1153289,NOTTING HILL COMMUNITY CHURCH
1116109,1159496,NUEVAS ESPERANZAS UK
803440,1180450,NYSTAGMUS NETWORK
800992,1181141,OFFINGTON COUNSELLING SERVICE
1044506,1128326,OGLANDER ROMAN TRUST
308003,1169829,OLD STEVENAGE COMMUNITY ASSOCIATION
1117993,1150581,OLDHAM CANCER SUPPORT CENTRE LTD
1147784,1175893,OLLIE'S TRUST LIMITED
1143190,1170975,ONCE UPON A SMILE LIMITED
210180,1134438,ONE WORLD TRUST
1090655,1171686,OPEN ARMS MALAWI
283458,1173751,ORCHARD HOUSE PRE-SCHOOL
1098765,1141728,ORGANISATION CETACEA
1153411,1178097,OUT OF SIGHT
1019923,1176119,OVINGHAM AND DISTRICT UNDER 5'S
293093,1102435,PALLANT HOUSE GALLERY
1103253,1155322,PANCREATIC CANCER RESEARCH FUND
249446,1178290,PAPUA NEW GUINEA CHURCH PARTNERSHIP
301489,1180046,PARKLANDS COMMUNITY CENTRE
1125948,1166910,PARTNERSHIPS OVERSEAS NETWORKING TRUST
220805,1172357,PATE HOUSE CHARITY
1052540,1178620,PENKHULL CHRISTIAN FELLOWSHIP
1046599,1172364,PESTALOZZI WORLD CHILDREN'S TRUST
273803,1180370,PETERBOROUGH WOMEN'S AID
301916,1179587,PETERSFIELD COMMUNITY ASSOCIATION
221438,1158974,PHARMACIST SUPPORT
1031830,1172929,PINNER PARISH PRESCHOOL
1135392,1169360,PLANTING PROMISE LIMITED
313622,1094508,POLLOCK'S TOY MUSEUM LIMITED
1027328,1169918,POPLARS GROUP
1052133,1177044,POPLEY FIELDS COMMUNITY ASSOCIATION
1004629,1127996,POPPY PRE-SCHOOL LIMITED
505866,1170996,PRESTON BROOK VILLAGE HALL
529001,1175360,QUEEN MARY'S SCHOOLS FOUNDATION
255136,1178117,QUEENBOROUGH FISHERY TRUST
1085689,1167093,RABBIT WELFARE FUND
1055065,1174994,RADIO FRIMLEY PARK
504253,1179963,RADWAY VILLAGE HALL
209170,1170878,RAINY DAY TRUST
297078,1174608,RANWELL PLAYGROUP
1024624,1110661,RARE CHROMOSOME DISORDER SUPPORT GROUP
1002357,1170313,REDBRIDGE EQUALITIES AND COMMUNITY COUNCIL
1062568,1100327,REDWOOD PRE-SCHOOL
327035,1180394,RESOURCE FOR ANGLICAN RENEWAL MINISTRIES
1056210,1173152,RESTORING HANDS
1087234,1178625,REX CHOSEN MINISTRIES -THE FATHER'S HOUSE
204244,251874,RICHARD TREVILLE
1074357,1180573,RIDING FOR THE DISABLED - EXETER GROUP
311456,1157004,"RIDLEY HALL, CAMBRIDGE"
225059,1167623,RIPLEY AND DISTRICT AGRICULTURAL AND HORTICULTURAL SOCIETY LIMITED
512913,1141462,RIPON MUSEUM TRUST
1052194,1173787,RIVER DEE COMMUNITY CHURCH
1146089,1172326,ROMFORD BAPTIST CHURCH
1142688,1174526,ROOKSDOWN COMMUNITY ASSOCIATION
202824,1174544,ROTARY CLUB OF SOUTHAMPTON TRUST FUND
1119458,1168555,ROTHERFIELD ST MARTIN
1022306,1181652,ROXWELL PRE-SCHOOL LTD
1006880,1169925,ROYAL FEMALE SCHOOL OF ART FOUNDATION
259422,1142186,ROYAL MARINES MUSEUM
525752,1063489,RYDAL PENRHOS LIMITED
1076716,1175552,RYEDALE CARERS' SUPPORT
509253,1175175,RYTON VILLAGE HALL
800773,1180134,SAFFRON WALDEN CHORAL SOCIETY
282484,1123314,SALISBURY HOSPICECARE TRUST LIMITED
1112112,1181248,SCAMPPS IN SURREY
1136854,1170528,SCOTTY'S LITTLE SOLDIERS
516491,1175131,SENHOUSE MUSEUM TRUST
1090662,1177601,SENIOR SOLUTIONS
262870,1143272,SHAARE ZEDEK UK
1145375,1179954,SHARNBROOK EVANGELICAL CHURCH
236426,1175666,SHEPTON MALLET UNITED CHARITIES
217652,1177535,SHERBURN HOUSE CHARITY
272385,1178256,SHERFIELD-ON-LODDON VILLAGE HALL
1120303,1170953,SHERFIELD PARK COMMUNITY ASSOCIATION
1029333,1177342,SHERINGTON PRE-SCHOOL
1061405,1162586,SHIPSTON HOME NURSING
234025,1179342,SHREWSBURY ROMAN CATHOLIC DIOCESAN TRUST
214215,1171471,SIGHT CYMRU
1088245,1165317,SIMON ON THE STREETS
