org_id_a,company_number,charity_number,org_id_b,relationship,source,sameas,Registered housing providers
GB-SHPE-4801,IP031243,,GB-COH-IP031243,sameas,Registered housing providers
GB-SHPE-L1990,IP21127R,,GB-COH-IP21127R,sameas,Registered housing providers
GB-SHPE-C2576,IP21766R,,GB-COH-IP21766R,sameas,Registered housing providers
GB-SHPE-LH4014,IP27656R,,GB-COH-IP27656R,sameas,Registered housing providers
GB-SHPE-L4218,03685650,1074954,GB-CHC-1074954,sameas,Registered housing providers
GB-SHPE-L0026,IP16274R,,GB-COH-IP16274R,sameas,Registered housing providers
GB-SHPE-5105,11940146,,GB-COH-11940146,sameas,Registered housing providers
GB-SHPE-C2430,IP21635R,,GB-COH-IP21635R,sameas,Registered housing providers
GB-SHPE-L4450,IP29991R,,GB-COH-IP29991R,sameas,Registered housing providers
GB-SHPE-4819,RS007106,,GB-COH-RS007106,sameas,Registered housing providers
GB-SHPE-L4449,IP29996R,,GB-COH-IP29996R,sameas,Registered housing providers
GB-SHPE-5139,03320296,1068007,GB-CHC-1068007,sameas,Registered housing providers
GB-SHPE-A0352,,210337,GB-CHC-210337,sameas,Registered housing providers
GB-SHPE-LH4415,04603611,1111423,GB-CHC-1111423,sameas,Registered housing providers
GB-SHPE-A1067,,206136,GB-CHC-206136,sameas,Registered housing providers
GB-SHPE-C3718,IP24856R,,GB-COH-IP24856R,sameas,Registered housing providers
GB-SHPE-37UD,,,GB-LAE-BRT,sameas,Registered housing providers
GB-SHPE-LH0269,00601847,201555,GB-CHC-201555,sameas,Registered housing providers
GB-SHPE-A2722,,213407,GB-CHC-213407,sameas,Registered housing providers
GB-SHPE-L2007,IP12653R,,GB-COH-IP12653R,sameas,Registered housing providers
GB-SHPE-A0752,,203155,GB-CHC-203155,sameas,Registered housing providers
GB-SHPE-00BM,,,GB-LAE-BUR,sameas,Registered housing providers
GB-SHPE-4881,,1174921,GB-CHC-1174921,sameas,Registered housing providers
GB-SHPE-A3163,,226853,GB-CHC-226853,sameas,Registered housing providers
GB-SHPE-A3825,,226852,GB-CHC-226852,sameas,Registered housing providers
GB-SHPE-A3623,,225965,GB-CHC-225965,sameas,Registered housing providers
GB-SHPE-4714,IP031376,,GB-COH-IP031376,sameas,Registered housing providers
GB-SHPE-5050,RS007038,,GB-COH-RS007038,sameas,Registered housing providers
GB-SHPE-L4254,03752751,1151945,GB-CHC-1151945,sameas,Registered housing providers
GB-SHPE-A0811,,200821,GB-CHC-200821,sameas,Registered housing providers
GB-SHPE-L1976,IP12773R,,GB-COH-IP12773R,sameas,Registered housing providers
GB-SHPE-12UB,,,GB-LAE-CAB,sameas,Registered housing providers
GB-SHPE-C1981,IP20301R,,GB-COH-IP20301R,sameas,Registered housing providers
GB-SHPE-41UB,,,GB-LAE-CAN,sameas,Registered housing providers
GB-SHPE-29UC,,,GB-LAE-CAT,sameas,Registered housing providers
GB-SHPE-4672,04653659,1172276,GB-CHC-1172276,sameas,Registered housing providers
GB-SHPE-4841,08075329,1147794,GB-CHC-1147794,sameas,Registered housing providers
GB-SHPE-4709,04580256,,GB-COH-04580256,sameas,Registered housing providers
GB-SHPE-22UE,,,GB-LAE-CAS,sameas,Registered housing providers
GB-SHPE-4858,RS007617,,GB-COH-RS007617,sameas,Registered housing providers
GB-SHPE-L0699,IP16561R,,GB-COH-IP16561R,sameas,Registered housing providers
GB-SHPE-C3856,IP26335R,,GB-COH-IP26335R,sameas,Registered housing providers
GB-SHPE-L0047,IP18909R,,GB-COH-IP18909R,sameas,Registered housing providers
GB-SHPE-H1528,IP27693R,,GB-COH-IP27693R,sameas,Registered housing providers
GB-SHPE-00KC,,,GB-LAE-CBF,sameas,Registered housing providers
GB-SHPE-H1869,01929421,292411,GB-CHC-292411,sameas,Registered housing providers
GB-SHPE-4641,06985746,1134768,GB-CHC-1134768,sameas,Registered housing providers
GB-SHPE-A2820,,205766,GB-CHC-205766,sameas,Registered housing providers
GB-SHPE-A2891,,244571,GB-CHC-244571,sameas,Registered housing providers
GB-SHPE-A2706,,237078,GB-CHC-237078,sameas,Registered housing providers
GB-SHPE-A3681,,232646,GB-CHC-232646,sameas,Registered housing providers
GB-SHPE-A3751,,801604,GB-CHC-801604,sameas,Registered housing providers
GB-SHPE-A0364,,201750,GB-CHC-201750,sameas,Registered housing providers
GB-SHPE-A2710,,221555,GB-CHC-221555,sameas,Registered housing providers
GB-SHPE-A2395,,224718,GB-CHC-224718,sameas,Registered housing providers
GB-SHPE-A4057,,215596,GB-CHC-215596,sameas,Registered housing providers
GB-SHPE-A4430,,230124,GB-CHC-230124,sameas,Registered housing providers
GB-SHPE-A3540,,218543,GB-CHC-218543,sameas,Registered housing providers
GB-SHPE-A0831,,267638,GB-CHC-267638,sameas,Registered housing providers
GB-SHPE-A3990,,243833,GB-CHC-243833,sameas,Registered housing providers
GB-SHPE-L4212,,1074613,GB-CHC-1074613,sameas,Registered housing providers
GB-SHPE-31UC,,,GB-LAE-CHA,sameas,Registered housing providers
GB-SHPE-4821,08662400,1162562,GB-CHC-1162562,sameas,Registered housing providers
GB-SHPE-L4331,,1149019,GB-CHC-1149019,sameas,Registered housing providers
GB-SHPE-5096,,,GB-LAE-CHL,sameas,Registered housing providers
GB-SHPE-23UB,,,GB-LAE-CHT,sameas,Registered housing providers
GB-SHPE-4572,04587658,,GB-COH-04587658,sameas,Registered housing providers
GB-SHPE-H4270,,250195,GB-CHC-250195,sameas,Registered housing providers
GB-SHPE-A2604,,200834,GB-CHC-200834,sameas,Registered housing providers
GB-SHPE-C3608,IP24833R,,GB-COH-IP24833R,sameas,Registered housing providers
GB-SHPE-38UB,,,GB-LAE-CHR,sameas,Registered housing providers
GB-SHPE-L4472,RS007528,,GB-COH-RS007528,sameas,Registered housing providers
GB-SHPE-00EW,,,GB-LAE-CHW,sameas,Registered housing providers
GB-SHPE-17UD,,,GB-LAE-CHS,sameas,Registered housing providers
GB-SHPE-LH3942,IP27077R,,GB-COH-IP27077R,sameas,Registered housing providers
GB-SHPE-L1306,IP19118R,,GB-COH-IP19118R,sameas,Registered housing providers
GB-SHPE-C3497,IP21903R,,GB-COH-IP21903R,sameas,Registered housing providers
GB-SHPE-L3642,IP025155,,GB-COH-IP025155,sameas,Registered housing providers
GB-SHPE-L1693,IP17650R,,GB-COH-IP17650R,sameas,Registered housing providers
GB-SHPE-A0821,,212419,GB-CHC-212419,sameas,Registered housing providers
GB-SHPE-L4178,IP26995R,,GB-COH-IP26995R,sameas,Registered housing providers
GB-SHPE-L4487,IP30155R,,GB-COH-IP30155R,sameas,Registered housing providers
GB-SHPE-30UE,,,GB-LAE-CHO,sameas,Registered housing providers
GB-SHPE-L4398,04782653,,GB-COH-04782653,sameas,Registered housing providers
GB-SHPE-LH4253,03736718,,GB-COH-03736718,sameas,Registered housing providers
GB-SHPE-LH0676,IP23577R,,GB-COH-IP23577R,sameas,Registered housing providers
GB-SHPE-4751,IP29818R,,GB-COH-IP29818R,sameas,Registered housing providers
GB-SHPE-A2868,,201387,GB-CHC-201387,sameas,Registered housing providers
GB-SHPE-A2070,,258758,GB-CHC-258758,sameas,Registered housing providers
GB-SHPE-L0104,IP21222R,,GB-COH-IP21222R,sameas,Registered housing providers
GB-SHPE-LH2916,IP22545R,,GB-COH-IP22545R,sameas,Registered housing providers
GB-SHPE-L1444,IP13733R,,GB-COH-IP13733R,sameas,Registered housing providers
GB-SHPE-5075,RS008181,,GB-COH-RS008181,sameas,Registered housing providers
GB-SHPE-00CX,,,GB-LAE-BRD,sameas,Registered housing providers
GB-SHPE-H3905,02449636,803226,GB-CHC-803226,sameas,Registered housing providers
GB-SHPE-32UD,,,GB-LAE-LIC,sameas,Registered housing providers
GB-SHPE-H1720,00560870,210443,GB-CHC-210443,sameas,Registered housing providers
GB-SHPE-00AA,,,GB-LAE-LND,sameas,Registered housing providers
GB-SHPE-A4055,,1040554,GB-CHC-1040554,sameas,Registered housing providers
GB-SHPE-00BK,,,GB-LAE-WSM,sameas,Registered housing providers
GB-SHPE-00FF,,,GB-LAE-YOR,sameas,Registered housing providers
GB-SHPE-4865,RS007686,,GB-COH-RS007686,sameas,Registered housing providers
GB-SHPE-LH4087,IP28038R,,GB-COH-IP28038R,sameas,Registered housing providers
GB-SHPE-L0156,IP20078R,,GB-COH-IP20078R,sameas,Registered housing providers
