org_id_a,org_id_b,org_name,relationship,source
GB-EDU-105123,GB-COH-04492250,BIRKENHEAD SCHOOL,sameas,Organisation company numbers
GB-EDU-105135,GB-COH-05210075,ST PAUL'S ACADEMY,sameas,Organisation company numbers
GB-EDU-105137,GB-COH-00200018,WEST KIRBY RESIDENTIAL SCHOOL,sameas,Organisation company numbers
GB-EDU-105177,GB-COH-07986805,EAGLEY INFANT SCHOOL,sameas,Organisation company numbers
GB-EDU-105188,GB-COH-07986218,EAGLEY JUNIOR SCHOOL,sameas,Organisation company numbers
GB-EDU-105280,GB-COH-02978546,BIRTENSHAW,sameas,Organisation company numbers
GB-EDU-105369,GB-COH-01433487,BURY CATHOLIC PREPARATORY SCHOOL LIMITED,sameas,Organisation company numbers
GB-EDU-105482,GB-COH-08403949,WEBSTER PRIMARY SCHOOL,sameas,Organisation company numbers
GB-EDU-105583,GB-COH-07716057,THE KING DAVID HIGH SCHOOL,sameas,Organisation company numbers
GB-EDU-105592,GB-COH-09665070,MANCHESTER HIGH SCHOOL FOR GIRLS,sameas,Organisation company numbers
GB-EDU-105595,GB-COH-09083954,WITHINGTON GIRLS' SCHOOL,sameas,Organisation company numbers
GB-EDU-105923,GB-COH-07717482,BROADOAK PRIMARY SCHOOL,sameas,Organisation company numbers
GB-EDU-105992,GB-COH-05190072,BRIDGEWATER SCHOOL,sameas,Organisation company numbers
GB-EDU-105996,GB-COH-07049059,BNOS YISROEL SCHOOL MANCHESTER,sameas,Organisation company numbers
GB-EDU-106004,GB-COH-09858903,OHOLEI YOSEF YITZCHOK LUBAVITCH SCHOOLS,sameas,Organisation company numbers
GB-EDU-106058,GB-COH-07737398,MELLOR PRIMARY SCHOOL,sameas,Organisation company numbers
GB-EDU-106149,GB-COH-02986515,LADY BARN HOUSE SCHOOL LIMITED,sameas,Organisation company numbers
GB-EDU-106156,GB-COH-06261525,STOCKPORT GRAMMAR SCHOOL,sameas,Organisation company numbers
GB-EDU-106157,GB-COH-03823129,CHEADLE HULME SCHOOL,sameas,Organisation company numbers
GB-EDU-106274,GB-COH-07697027,WEST HILL SCHOOL,sameas,Organisation company numbers
GB-EDU-106275,GB-COH-07511610,FAIRFIELD HIGH SCHOOL FOR GIRLS,sameas,Organisation company numbers
GB-EDU-106371,GB-COH-07538380,SALE GRAMMAR SCHOOL,sameas,Organisation company numbers
GB-EDU-106373,GB-COH-07458631,WELLINGTON SCHOOL,sameas,Organisation company numbers
GB-EDU-106378,GB-COH-08125396,LORETO GRAMMAR SCHOOL,sameas,Organisation company numbers
GB-EDU-106527,GB-COH-07733109,FRED LONGWORTH HIGH SCHOOL,sameas,Organisation company numbers
GB-EDU-106608,GB-COH-08431840,HEATHER GARTH PRIMARY SCHOOL,sameas,Organisation company numbers
GB-EDU-106810,GB-COH-08936511,THE MCAULEY CATHOLIC HIGH SCHOOL,sameas,Organisation company numbers
GB-EDU-106811,GB-COH-07547393,THE HAYFIELD SCHOOL,sameas,Organisation company numbers
GB-EDU-106812,GB-COH-00908443,HILL HOUSE SCHOOL LIMITED,sameas,Organisation company numbers
GB-EDU-106940,GB-COH-08543217,ST MARY'S CATHOLIC PRIMARY SCHOOL (MALTBY),sameas,Organisation company numbers
GB-EDU-107159,GB-COH-08098354,NOTRE DAME HIGH SCHOOL,sameas,Organisation company numbers
GB-EDU-107160,GB-COH-08100620,ALL SAINTS' CATHOLIC HIGH SCHOOL,sameas,Organisation company numbers
GB-EDU-107163,GB-COH-02792166,BIRKDALE SCHOOL,sameas,Organisation company numbers
GB-EDU-107453,GB-COH-04030247,WESTVILLE HOUSE SCHOOL,sameas,Organisation company numbers
GB-EDU-107454,GB-COH-07281806,BRADFORD GIRLS' GRAMMAR SCHOOL,sameas,Organisation company numbers
GB-EDU-107562,GB-COH-09010317,THE CALDER LEARNING TRUST,sameas,Organisation company numbers
GB-EDU-107583,GB-COH-05855479,RISHWORTH SCHOOL,sameas,Organisation company numbers
GB-EDU-107585,GB-COH-14185708,HIPPERHOLME GRAMMAR SCHOOL LTD,sameas,Organisation company numbers
GB-EDU-107632,GB-COH-07727564,LINDLEY JUNIOR SCHOOL,sameas,Organisation company numbers
GB-EDU-107754,GB-COH-08164889,KING JAMES'S SCHOOL,sameas,Organisation company numbers
GB-EDU-108092,GB-COH-07849654,HORSFORTH SCHOOL,sameas,Organisation company numbers
GB-EDU-108102,GB-COH-00810136,MOORLANDS SCHOOL LIMITED,sameas,Organisation company numbers
GB-EDU-108103,GB-COH-01270675,RICHMOND HOUSE SCHOOL,sameas,Organisation company numbers
GB-EDU-108113,GB-COH-03075826,THE GRAMMAR SCHOOL AT LEEDS,sameas,Organisation company numbers
GB-EDU-108300,GB-COH-10562182,ACKWORTH SCHOOL,sameas,Organisation company numbers
GB-EDU-108544,GB-COH-01196898,NEWCASTLE SCHOOL FOR BOYS,sameas,Organisation company numbers
GB-EDU-108933,GB-COH-07763421,HENLEAZE JUNIOR SCHOOL,sameas,Organisation company numbers
GB-EDU-109149,GB-COH-08422944,STOKE BISHOP CHURCH OF ENGLAND PRIMARY SCHOOL,sameas,Organisation company numbers
